GO_ID	GO_Name	Aspect	Accession_Count	Accessions
GO:0006464	cellular protein modification process	Biological_Process	70	Dcitr02g0177013;Dcitr02g0877011;Dcitr02g0577011;Dcitr07g0326011;Dcitr03g1019011;Dcitr05g0386011;Dcitr01g1167012;Dcitr02g0884013;Dcitr02g0875011;Dcitr02g0883011;Dcitr02g1066011;Dcitr02g1518011;Dcitr03g1615011;Dcitr02g1061013;Dcitr03g1794011;Dcitr03g1793011;Dcitr05g0380011;Dcitr00g1159011;Dcitr03g0519011;Dcitr05g0380012;Dcitr03g1020011;Dcitr02g1520011;Dcitr07g0329011;Dcitr02g1069011;Dcitr04g0324011;Dcitr02g1246011;Dcitr02g0177014;Dcitr02g0885011;Dcitr02g0878011;Dcitr10g0319012;Dcitr04g0308011;Dcitr00g1161011;Dcitr00g1383011;Dcitr02g1061012;Dcitr10g0319011;Dcitr10g0319014;Dcitr12g0265011;Dcitr02g1067011;Dcitr02g1061011;Dcitr06g0348011;Dcitr10g0319013;Dcitr02g1064011;Dcitr01g1167011;Dcitr02g0177011;Dcitr04g0541011;Dcitr02g0879011;Dcitr11g0245011;Dcitr02g0177012;Dcitr02g0884011;Dcitr02g1479011;Dcitr02g1063011;Dcitr01g1167013;Dcitr04g1190011;Dcitr02g1070011;Dcitr03g0674011;Dcitr04g1673011;Dcitr01g1950011;Dcitr02g1478011;Dcitr02g0884012;Dcitr02g1522011;Dcitr02g0874011;Dcitr02g1065011;Dcitr08g0124011;Dcitr02g0886011;Dcitr02g0880011;Dcitr06g0350011;Dcitr04g1678011;Dcitr03g1803011;Dcitr11g0258011;Dcitr03g1800011
GO:0000737	DNA catabolic process, endonucleolytic	Biological_Process	1	Dcitr04g0326011
GO:0004435	phosphatidylinositol phospholipase C activity	Molecular_Function	9	Dcitr08g0298011;Dcitr08g0284011;Dcitr08g0298012;Dcitr02g0898011;Dcitr03g0341011;Dcitr05g0669011;Dcitr02g0900011;Dcitr05g0665011;Dcitr05g0667011
GO:0032515	negative regulation of phosphoprotein phosphatase activity	Biological_Process	1	Dcitr04g0188011
GO:0009228	thiamine biosynthetic process	Biological_Process	2	Dcitr00g0554011;Dcitr00g0824011
GO:0008168	methyltransferase activity	Molecular_Function	63	Dcitr10g1066011;Dcitr03g0129011;Dcitr02g1819011;Dcitr03g0664011;Dcitr12g0290011;Dcitr04g0362011;Dcitr05g1158011;Dcitr01g1520011;Dcitr01g2048011;Dcitr00g0341013;Dcitr03g0134011;Dcitr12g0799011;Dcitr00g0943011;Dcitr02g0677011;Dcitr02g1825011;Dcitr04g0788011;Dcitr12g0803012;Dcitr00g0341011;Dcitr05g0684011;Dcitr04g0724011;Dcitr01g0206011;Dcitr02g0674011;Dcitr00g0341012;Dcitr07g0427011;Dcitr12g0803011;Dcitr03g1870011;Dcitr01g0280011;Dcitr04g0793011;Dcitr08g0509011;Dcitr00g1476011;Dcitr11g0611011;Dcitr04g0478011;Dcitr02g1417011;Dcitr01g1625011;Dcitr04g1674011;Dcitr08g1061012;Dcitr06g0437011;Dcitr11g0700011;Dcitr12g0776011;Dcitr02g1424011;Dcitr03g0661011;Dcitr04g0989011;Dcitr08g1061011;Dcitr02g1830011;Dcitr08g0515011;Dcitr04g1676011;Dcitr02g0670011;Dcitr02g1417012;Dcitr06g0653011;Dcitr02g1417014;Dcitr06g0439011;Dcitr06g0685011;Dcitr03g1871011;Dcitr04g0735011;Dcitr05g0194011;Dcitr11g0633011;Dcitr06g0651011;Dcitr02g1417013;Dcitr04g0436011;Dcitr04g0419011;Dcitr02g1810011;Dcitr05g0651011;Dcitr10g0562011
GO:0004663	Rab geranylgeranyltransferase activity	Molecular_Function	2	Dcitr05g0795011;Dcitr05g0792011
GO:0004850	uridine phosphorylase activity	Molecular_Function	1	Dcitr07g1082011
GO:0010485	H4 histone acetyltransferase activity	Molecular_Function	1	Dcitr01g1815011
GO:0009063	cellular amino acid catabolic process	Biological_Process	3	Dcitr03g1266013;Dcitr03g1266011;Dcitr03g1266012
GO:0042255	ribosome assembly	Biological_Process	2	Dcitr01g0271011;Dcitr01g0269011
GO:0044782	cilium organization	Biological_Process	1	Dcitr10g0187011
GO:0004020	adenylylsulfate kinase activity	Molecular_Function	6	Dcitr12g0948012;Dcitr12g0948011;Dcitr12g0957011;Dcitr12g0948015;Dcitr12g0948014;Dcitr12g0948013
GO:0060397	growth hormone receptor signaling pathway via JAK-STAT	Biological_Process	1	Dcitr03g1633011
GO:0004367	glycerol-3-phosphate dehydrogenase [NAD+] activity	Molecular_Function	5	Dcitr00g0321011;Dcitr07g0550011;Dcitr00g0525011;Dcitr07g0548012;Dcitr07g0548011
GO:0051033	RNA transmembrane transporter activity	Molecular_Function	1	Dcitr02g1640011
GO:0032465	regulation of cytokinesis	Biological_Process	5	Dcitr05g0513011;Dcitr05g0519011;Dcitr05g0518011;Dcitr05g0515011;Dcitr03g1981011
GO:0006021	inositol biosynthetic process	Biological_Process	1	Dcitr01g1427011
GO:0009396	folic acid-containing compound biosynthetic process	Biological_Process	5	Dcitr12g0259011;Dcitr12g0259015;Dcitr12g0259014;Dcitr12g0259012;Dcitr12g0259013
GO:0005230	extracellular ligand-gated ion channel activity	Molecular_Function	46	Dcitr08g0511011;Dcitr05g1415011;Dcitr03g0810011;Dcitr11g0842011;Dcitr07g0735011;Dcitr02g1277011;Dcitr08g1162011;Dcitr05g1414011;Dcitr02g1401011;Dcitr02g1179011;Dcitr11g0843011;Dcitr02g0917013;Dcitr02g0916012;Dcitr01g0843011;Dcitr03g0464011;Dcitr02g1180011;Dcitr01g0846011;Dcitr08g1164011;Dcitr11g0606011;Dcitr01g0842011;Dcitr07g0680011;Dcitr03g1552012;Dcitr07g0733011;Dcitr11g0637011;Dcitr03g0883011;Dcitr03g1552011;Dcitr03g0809011;Dcitr08g0540011;Dcitr00g0963011;Dcitr02g0917012;Dcitr05g1727011;Dcitr10g0162011;Dcitr02g0916011;Dcitr03g0886011;Dcitr03g1561011;Dcitr01g0845011;Dcitr08g1154011;Dcitr11g0607011;Dcitr07g0176011;Dcitr08g1055011;Dcitr07g0177011;Dcitr07g0594011;Dcitr08g0539011;Dcitr08g0537011;Dcitr02g0917011;Dcitr08g0514011
GO:0030246	carbohydrate binding	Molecular_Function	36	Dcitr02g0309011;Dcitr01g1402011;Dcitr06g1073011;Dcitr02g1055012;Dcitr08g0474011;Dcitr03g0138011;Dcitr01g1402012;Dcitr06g0451011;Dcitr00g0298011;Dcitr02g1055011;Dcitr02g1050011;Dcitr06g0160011;Dcitr04g1023011;Dcitr05g1418011;Dcitr08g0480011;Dcitr01g0853011;Dcitr06g0706011;Dcitr06g0479011;Dcitr04g1360012;Dcitr01g0854011;Dcitr08g0541012;Dcitr04g1360013;Dcitr08g0541011;Dcitr10g1027011;Dcitr06g0443011;Dcitr13g0289011;Dcitr06g0479012;Dcitr06g1078011;Dcitr05g1421011;Dcitr02g0337011;Dcitr02g1403011;Dcitr04g1020011;Dcitr04g0983011;Dcitr03g1481011;Dcitr04g1360011;Dcitr04g0980011
GO:0008308	voltage-gated anion channel activity	Molecular_Function	3	Dcitr01g0371013;Dcitr01g0371012;Dcitr01g0371011
GO:0006629	lipid metabolic process	Biological_Process	82	Dcitr01g1201014;Dcitr05g0761011;Dcitr04g0535011;Dcitr12g0625012;Dcitr01g1201011;Dcitr04g1360013;Dcitr06g0844011;Dcitr08g0298012;Dcitr06g0865013;Dcitr01g1862011;Dcitr12g0625013;Dcitr10g1005011;Dcitr05g0667011;Dcitr06g1511011;Dcitr02g1959011;Dcitr01g1860011;Dcitr06g0862011;Dcitr08g0897011;Dcitr06g0746011;Dcitr02g1739012;Dcitr02g0523011;Dcitr01g1783011;Dcitr00g1364011;Dcitr01g1509011;Dcitr05g0669011;Dcitr01g1759011;Dcitr01g1414011;Dcitr08g0794011;Dcitr10g0997011;Dcitr06g1517011;Dcitr11g0285011;Dcitr12g0347011;Dcitr01g1863011;Dcitr02g1739011;Dcitr02g0568011;Dcitr13g0415011;Dcitr05g0665011;Dcitr11g0280011;Dcitr08g0298011;Dcitr08g0284011;Dcitr12g0625011;Dcitr06g1510011;Dcitr00g1227012;Dcitr06g0865012;Dcitr01g1432011;Dcitr01g1036011;Dcitr01g1526011;Dcitr03g0720011;Dcitr06g0526011;Dcitr06g0865011;Dcitr01g1201012;Dcitr02g1526011;Dcitr04g1360011;Dcitr02g0900011;Dcitr00g0665011;Dcitr00g0650011;Dcitr06g0748011;Dcitr06g0752011;Dcitr02g0524011;Dcitr05g0664011;Dcitr06g0718011;Dcitr06g0433011;Dcitr01g1861011;Dcitr11g0285012;Dcitr02g0702011;Dcitr00g0744011;Dcitr04g0532011;Dcitr01g1758011;Dcitr06g0285011;Dcitr02g1125011;Dcitr02g1144011;Dcitr05g0752011;Dcitr01g0788011;Dcitr01g1201013;Dcitr10g0732011;Dcitr01g1332011;Dcitr06g0842011;Dcitr03g0341011;Dcitr00g1227011;Dcitr04g1360012;Dcitr00g0305011;Dcitr01g1863012
GO:0004879	nuclear receptor activity	Molecular_Function	9	Dcitr08g0245014;Dcitr02g1953011;Dcitr08g0245013;Dcitr08g0245012;Dcitr05g1215011;Dcitr04g0506011;Dcitr05g1216011;Dcitr08g0245011;Dcitr08g0406011
GO:0034464	BBSome	Cellular_Component	7	Dcitr12g0484011;Dcitr02g1797011;Dcitr02g1967011;Dcitr02g1796011;Dcitr12g0485011;Dcitr03g0376011;Dcitr08g0993011
GO:0007417	central nervous system development	Biological_Process	1	Dcitr05g1505011
GO:0004842	ubiquitin-protein transferase activity	Molecular_Function	63	Dcitr07g1010011;Dcitr01g2225014;Dcitr06g0563012;Dcitr09g0423011;Dcitr03g2098011;Dcitr10g0839011;Dcitr04g1553011;Dcitr00g1049011;Dcitr06g0407011;Dcitr08g0892011;Dcitr03g1806011;Dcitr01g2225011;Dcitr04g1545011;Dcitr02g1815011;Dcitr05g1631011;Dcitr01g2225013;Dcitr02g0132011;Dcitr11g0749011;Dcitr07g0280011;Dcitr10g0141011;Dcitr02g0131012;Dcitr00g1241011;Dcitr13g0124011;Dcitr09g0815011;Dcitr10g0876011;Dcitr11g0740011;Dcitr02g1770011;Dcitr06g0901011;Dcitr10g0668011;Dcitr03g2093011;Dcitr02g1765011;Dcitr02g0131011;Dcitr09g0669011;Dcitr03g1709012;Dcitr01g0528011;Dcitr02g1975012;Dcitr10g0843011;Dcitr09g0841011;Dcitr03g1709011;Dcitr08g0768011;Dcitr12g0470011;Dcitr10g0835011;Dcitr13g0126011;Dcitr04g1277011;Dcitr09g0420011;Dcitr07g1014011;Dcitr02g1977011;Dcitr00g1289011;Dcitr06g0406011;Dcitr03g1981011;Dcitr04g1240011;Dcitr07g0277011;Dcitr06g0551011;Dcitr02g1975011;Dcitr00g1243011;Dcitr02g0104011;Dcitr02g1812011;Dcitr03g2100011;Dcitr09g0417011;Dcitr01g2225012;Dcitr02g0103011;Dcitr10g0874011;Dcitr06g0563011
GO:0004326	tetrahydrofolylpolyglutamate synthase activity	Molecular_Function	5	Dcitr12g0259011;Dcitr12g0259015;Dcitr12g0259014;Dcitr12g0259012;Dcitr12g0259013
GO:0045900	negative regulation of translational elongation	Biological_Process	1	Dcitr04g0144011
GO:0006513	protein monoubiquitination	Biological_Process	1	Dcitr01g1260011
GO:0030976	thiamine pyrophosphate binding	Molecular_Function	8	Dcitr03g0559011;Dcitr00g0946011;Dcitr03g0557011;Dcitr01g2077011;Dcitr04g1653011;Dcitr00g1039011;Dcitr00g1126011;Dcitr03g0558011
GO:0004869	cysteine-type endopeptidase inhibitor activity	Molecular_Function	2	Dcitr03g1152011;Dcitr03g1593011
GO:0042073	intraciliary transport	Biological_Process	7	Dcitr04g0236011;Dcitr04g0888011;Dcitr04g0889011;Dcitr02g0145011;Dcitr04g0886011;Dcitr02g0503011;Dcitr02g0501011
GO:0006904	vesicle docking involved in exocytosis	Biological_Process	16	Dcitr02g2019011;Dcitr03g2115011;Dcitr03g2119011;Dcitr02g2021011;Dcitr03g2110011;Dcitr05g1527011;Dcitr10g0713011;Dcitr02g2020011;Dcitr03g2116011;Dcitr12g0733011;Dcitr03g2114011;Dcitr12g0738011;Dcitr10g0702011;Dcitr03g2109011;Dcitr05g1523011;Dcitr02g1151011
GO:0006379	mRNA cleavage	Biological_Process	3	Dcitr04g1187011;Dcitr02g0968011;Dcitr03g1023011
GO:0019001	guanyl nucleotide binding	Molecular_Function	11	Dcitr08g0870011;Dcitr08g0972011;Dcitr13g0451011;Dcitr13g0445011;Dcitr07g0766011;Dcitr10g0891011;Dcitr00g0471011;Dcitr13g0448011;Dcitr10g0880011;Dcitr07g0756011;Dcitr07g0688011
GO:0019948	SUMO activating enzyme activity	Molecular_Function	3	Dcitr12g0316011;Dcitr12g0308011;Dcitr12g0315011
GO:0035721	intraciliary retrograde transport	Biological_Process	1	Dcitr01g1351011
GO:0004108	citrate (Si)-synthase activity	Molecular_Function	1	Dcitr05g1365011
GO:0048863	stem cell differentiation	Biological_Process	1	Dcitr02g0217011
GO:0071797	LUBAC complex	Cellular_Component	1	Dcitr04g1277011
GO:0009166	nucleotide catabolic process	Biological_Process	8	Dcitr12g0540011;Dcitr01g1659011;Dcitr12g0543012;Dcitr01g1659012;Dcitr12g0543013;Dcitr07g1082011;Dcitr12g0543011;Dcitr12g0541011
GO:0023052	signaling	Biological_Process	5	Dcitr13g0175011;Dcitr09g0143011;Dcitr09g0110011;Dcitr09g0137011;Dcitr13g0173011
GO:0021520	spinal cord motor neuron cell fate specification	Biological_Process	1	Dcitr08g0319011
GO:0005528	FK506 binding	Molecular_Function	1	Dcitr06g1446011
GO:0035098	ESC/E(Z) complex	Cellular_Component	1	Dcitr01g0858011
GO:0035368	selenocysteine insertion sequence binding	Molecular_Function	1	Dcitr03g2087011
GO:0016570	histone modification	Biological_Process	5	Dcitr03g0365011;Dcitr03g1260011;Dcitr05g1060011;Dcitr03g0367011;Dcitr03g0364011
GO:0032007	negative regulation of TOR signaling	Biological_Process	4	Dcitr06g1488011;Dcitr03g0159011;Dcitr03g0144011;Dcitr05g0607011
GO:0004347	glucose-6-phosphate isomerase activity	Molecular_Function	1	Dcitr00g0646011
GO:0000184	nuclear-transcribed mRNA catabolic process, nonsense-mediated decay	Biological_Process	12	Dcitr11g0372011;Dcitr04g1106011;Dcitr09g0703011;Dcitr03g0956011;Dcitr09g0702011;Dcitr01g1917011;Dcitr04g0120011;Dcitr03g0952011;Dcitr09g0708011;Dcitr04g0118011;Dcitr04g0117011;Dcitr01g1911011
GO:0004066	asparagine synthase (glutamine-hydrolyzing) activity	Molecular_Function	2	Dcitr02g0707011;Dcitr05g0391011
GO:0006909	phagocytosis	Biological_Process	2	Dcitr02g1454011;Dcitr02g1450011
GO:0005765	lysosomal membrane	Cellular_Component	3	Dcitr01g0363011;Dcitr11g0966011;Dcitr01g0366011
GO:0071203	WASH complex	Cellular_Component	6	Dcitr00g1451011;Dcitr01g1554011;Dcitr01g1556011;Dcitr07g0764011;Dcitr02g0186011;Dcitr07g0755011
GO:0008017	microtubule binding	Molecular_Function	76	Dcitr01g1895011;Dcitr13g0390011;Dcitr13g0397011;Dcitr05g0755011;Dcitr10g0266011;Dcitr01g1885011;Dcitr08g1004012;Dcitr00g0929011;Dcitr02g1094011;Dcitr06g1530011;Dcitr10g0582012;Dcitr11g0353011;Dcitr07g0786011;Dcitr01g2184011;Dcitr05g0226011;Dcitr01g2182011;Dcitr01g0796011;Dcitr05g1470011;Dcitr01g0798011;Dcitr02g0590011;Dcitr05g1463012;Dcitr02g0865011;Dcitr02g1565011;Dcitr03g2016011;Dcitr10g1073011;Dcitr11g0533011;Dcitr01g0918011;Dcitr06g1098011;Dcitr05g0224011;Dcitr04g0423011;Dcitr01g0807011;Dcitr08g1004011;Dcitr06g1532011;Dcitr02g1092011;Dcitr11g0354011;Dcitr08g1003011;Dcitr05g1463013;Dcitr03g0766011;Dcitr00g0347011;Dcitr07g0785011;Dcitr02g1267011;Dcitr03g2020011;Dcitr05g1463011;Dcitr03g2019011;Dcitr02g0480011;Dcitr08g0290011;Dcitr05g1472011;Dcitr02g1095011;Dcitr13g0697011;Dcitr06g1439011;Dcitr05g0227011;Dcitr05g0757011;Dcitr01g2186011;Dcitr05g1463014;Dcitr11g0533012;Dcitr10g0710011;Dcitr10g0582011;Dcitr00g0347012;Dcitr04g0430011;Dcitr00g0347013;Dcitr13g0397012;Dcitr10g0255011;Dcitr03g2021011;Dcitr03g1650011;Dcitr02g0864011;Dcitr01g1971011;Dcitr03g2015011;Dcitr06g1439012;Dcitr01g1114011;Dcitr00g1396011;Dcitr01g1890011;Dcitr03g1546011;Dcitr00g0345011;Dcitr07g0749011;Dcitr11g0533013;Dcitr00g0903011
GO:0008430	selenium binding	Molecular_Function	2	Dcitr12g0163011;Dcitr12g0162011
GO:0005751	mitochondrial respiratory chain complex IV	Cellular_Component	5	Dcitr12g0732011;Dcitr12g0727011;Dcitr12g0721011;Dcitr12g0723011;Dcitr12g0727012
GO:0003721	telomerase RNA reverse transcriptase activity	Molecular_Function	2	Dcitr03g0660011;Dcitr03g0665011
GO:0051726	regulation of cell cycle	Biological_Process	11	Dcitr02g1388011;Dcitr04g1523011;Dcitr13g0456011;Dcitr04g1519011;Dcitr04g0543011;Dcitr13g0493011;Dcitr04g0545011;Dcitr04g0821011;Dcitr13g0497011;Dcitr04g0819011;Dcitr02g1391011
GO:0008420	RNA polymerase II CTD heptapeptide repeat phosphatase activity	Molecular_Function	4	Dcitr04g0577011;Dcitr13g0573011;Dcitr13g0574011;Dcitr04g0583011
GO:0051289	protein homotetramerization	Biological_Process	1	Dcitr02g0127011
GO:0035091	phosphatidylinositol binding	Molecular_Function	26	Dcitr01g0201011;Dcitr08g1037011;Dcitr00g0636011;Dcitr08g1039011;Dcitr08g1042011;Dcitr04g0397011;Dcitr08g0583011;Dcitr07g0646011;Dcitr11g0956011;Dcitr03g1358011;Dcitr13g0476011;Dcitr01g1253011;Dcitr02g0860011;Dcitr01g0191011;Dcitr03g1348011;Dcitr12g0997011;Dcitr05g1057011;Dcitr06g0650011;Dcitr08g0795011;Dcitr12g0992011;Dcitr13g0592011;Dcitr05g1055011;Dcitr02g0814011;Dcitr08g1036011;Dcitr13g0481011;Dcitr03g1650011
GO:0008988	rRNA (adenine-N6-)-methyltransferase activity	Molecular_Function	2	Dcitr03g0664011;Dcitr03g0661011
GO:0004462	lactoylglutathione lyase activity	Molecular_Function	2	Dcitr04g1226011;Dcitr04g1224011
GO:0000445	THO complex part of transcription export complex	Cellular_Component	2	Dcitr04g1272011;Dcitr04g1269011
GO:0019774	proteasome core complex, beta-subunit complex	Cellular_Component	2	Dcitr00g1365011;Dcitr02g1444011
GO:0008478	pyridoxal kinase activity	Molecular_Function	2	Dcitr03g0542011;Dcitr00g0450011
GO:1990542	mitochondrial transmembrane transport	Biological_Process	3	Dcitr02g1398011;Dcitr02g1400011;Dcitr02g1392011
GO:0005089	Rho guanyl-nucleotide exchange factor activity	Molecular_Function	11	Dcitr02g0911011;Dcitr02g0913011;Dcitr02g0912011;Dcitr05g1505011;Dcitr05g1504012;Dcitr05g1504011;Dcitr04g0148014;Dcitr05g1504013;Dcitr04g0148013;Dcitr04g0148011;Dcitr04g0148012
GO:0018279	protein N-linked glycosylation via asparagine	Biological_Process	2	Dcitr02g0379011;Dcitr02g0366011
GO:0032222	regulation of synaptic transmission, cholinergic	Biological_Process	4	Dcitr08g0410011;Dcitr01g0679011;Dcitr03g0853011;Dcitr08g0410012
GO:0034773	histone H4-K20 trimethylation	Biological_Process	1	Dcitr08g1007011
GO:0003810	protein-glutamine gamma-glutamyltransferase activity	Molecular_Function	1	Dcitr04g1285011
GO:0030366	molybdopterin synthase activity	Molecular_Function	2	Dcitr03g0255011;Dcitr03g0236011
GO:0004300	enoyl-CoA hydratase activity	Molecular_Function	1	Dcitr04g0831011
GO:0043001	Golgi to plasma membrane protein transport	Biological_Process	1	Dcitr01g1864011
GO:0030512	negative regulation of transforming growth factor beta receptor signaling pathway	Biological_Process	2	Dcitr02g0940011;Dcitr02g0937011
GO:0019538	protein metabolic process	Biological_Process	1	Dcitr02g0943011
GO:0043190	ATP-binding cassette (ABC) transporter complex	Cellular_Component	14	Dcitr06g0756011;Dcitr09g0563011;Dcitr09g0563012;Dcitr09g0573013;Dcitr09g0563013;Dcitr09g0563014;Dcitr06g0143011;Dcitr09g0573011;Dcitr09g0573012;Dcitr06g0148011;Dcitr09g0956012;Dcitr09g0956011;Dcitr05g1082011;Dcitr09g0573014
GO:0071586	CAAX-box protein processing	Biological_Process	6	Dcitr03g1918011;Dcitr03g1928011;Dcitr01g0234011;Dcitr03g1929011;Dcitr03g0247011;Dcitr03g0228011
GO:0017116	single-stranded DNA helicase activity	Molecular_Function	2	Dcitr03g1087011;Dcitr03g1081011
GO:0006101	citrate metabolic process	Biological_Process	2	Dcitr05g1365011;Dcitr01g1165011
GO:0000339	RNA cap binding	Molecular_Function	3	Dcitr10g1067011;Dcitr01g1476011;Dcitr08g0637011
GO:0000407	phagophore assembly site	Cellular_Component	1	Dcitr07g0170011
GO:0030151	molybdenum ion binding	Molecular_Function	6	Dcitr03g1643011;Dcitr11g0324011;Dcitr08g1233012;Dcitr03g1642011;Dcitr08g1233011;Dcitr06g0166011
GO:0004111	creatine kinase activity	Molecular_Function	1	Dcitr01g1796011
GO:0050290	sphingomyelin phosphodiesterase D activity	Molecular_Function	2	Dcitr01g1888011;Dcitr01g1883011
GO:0035145	exon-exon junction complex	Cellular_Component	1	Dcitr08g1236011
GO:0019343	cysteine biosynthetic process via cystathionine	Biological_Process	5	Dcitr03g1080011;Dcitr03g1078011;Dcitr03g1080013;Dcitr03g1078012;Dcitr03g1080012
GO:0003746	translation elongation factor activity	Molecular_Function	11	Dcitr09g0219013;Dcitr04g1126011;Dcitr09g0219012;Dcitr09g0219011;Dcitr01g1435011;Dcitr09g0196011;Dcitr01g1417011;Dcitr01g0450011;Dcitr04g0422011;Dcitr01g1397011;Dcitr04g0977011
GO:0004573	mannosyl-oligosaccharide glucosidase activity	Molecular_Function	2	Dcitr03g2083011;Dcitr03g2081011
GO:0008097	5S rRNA binding	Molecular_Function	3	Dcitr00g0758011;Dcitr00g0653011;Dcitr00g0705011
GO:0004849	uridine kinase activity	Molecular_Function	1	Dcitr12g0486011
