Accession_ID	InterPro_Count	InterPro_IDs	InterPro_Types_and_Names
Dcitr03g0956011	2	IPR019354;IPR028802	"FAMILY:Smg8/Smg9";"FAMILY:SMG8"
Dcitr07g0441011	5	IPR020568;IPR027408;IPR015847;IPR036345;IPR001247	"HOMOLOGOUS_SUPERFAMILY:Ribosomal_S5_D2-typ_fold";"HOMOLOGOUS_SUPERFAMILY:PNPase/RNase_PH_dom_sf";"DOMAIN:ExoRNase_PH_dom2";"HOMOLOGOUS_SUPERFAMILY:ExoRNase_PH_dom2_sf";"DOMAIN:ExoRNase_PH_dom1"
Dcitr05g1729011	3	IPR041418;IPR013761;IPR040167	"DOMAIN:SAM_3";"HOMOLOGOUS_SUPERFAMILY:SAM/pointed_sf";"FAMILY:TF_CP2-like"
Dcitr12g0561011	4	IPR018410;IPR006153;IPR018422;IPR004709	"FAMILY:Na/H_exchanger_3/5";"DOMAIN:Cation/H_exchanger";"FAMILY:Cation/H_exchanger_CPA1";"FAMILY:NaH_exchanger"
Dcitr10g0326012	2	IPR000182;IPR016181	"DOMAIN:GNAT_dom";"HOMOLOGOUS_SUPERFAMILY:Acyl_CoA_acyltransferase"
Dcitr12g0599011	5	IPR002172;IPR036055;IPR023415;IPR000859;IPR035914	"REPEAT:LDrepeatLR_classA_rpt";"HOMOLOGOUS_SUPERFAMILY:LDL_receptor-like_sf";"CONSERVED_SITE:LDLR_class-A_CS";"DOMAIN:CUB_dom";"HOMOLOGOUS_SUPERFAMILY:Sperma_CUB_dom_sf"
Dcitr06g1361011	2	IPR012677;IPR014886	"HOMOLOGOUS_SUPERFAMILY:Nucleotide-bd_a/b_plait_sf";"DOMAIN:La_RRM"
Dcitr09g0640011	3	IPR036691;IPR000300;IPR039737	"HOMOLOGOUS_SUPERFAMILY:Endo/exonu/phosph_ase_sf";"DOMAIN:IPPc";"FAMILY:INPP5A"
Dcitr11g0713011	4	IPR036396;IPR017972;IPR002403;IPR001128	"HOMOLOGOUS_SUPERFAMILY:Cyt_P450_sf";"CONSERVED_SITE:Cyt_P450_CS";"FAMILY:Cyt_P450_E_grp-IV";"FAMILY:Cyt_P450"
Dcitr11g0865011	2	IPR001680;IPR036322	"REPEAT:WD40_repeat";"HOMOLOGOUS_SUPERFAMILY:WD40_repeat_dom_sf"
Dcitr00g0305011	5	IPR013818;IPR000734;IPR033906;IPR016272;IPR029058	"DOMAIN:Lipase/vitellogenin";"FAMILY:TAG_lipase";"DOMAIN:Lipase_N";"FAMILY:Lipase_LIPH";"HOMOLOGOUS_SUPERFAMILY:AB_hydrolase"
Dcitr00g1349011	6	IPR016163;IPR010061;IPR016161;IPR016162;IPR016160;IPR015590	"HOMOLOGOUS_SUPERFAMILY:Ald_DH_C";"FAMILY:MeMal-semiAld_DH";"HOMOLOGOUS_SUPERFAMILY:Ald_DH/histidinol_DH";"HOMOLOGOUS_SUPERFAMILY:Ald_DH_N";"CONSERVED_SITE:Ald_DH_CS_CYS";"DOMAIN:Aldehyde_DH_dom"
Dcitr13g0715011	2	IPR002124;IPR036972	"FAMILY:Cyt_c_oxidase_su5b";"HOMOLOGOUS_SUPERFAMILY:Cyt_c_oxidase_su5b_sf"
Dcitr06g0225011	1	IPR000996	"FAMILY:Clathrin_L-chain"
Dcitr03g1107011	2	IPR036058;IPR002350	"HOMOLOGOUS_SUPERFAMILY:Kazal_dom_sf";"DOMAIN:Kazal_dom"
Dcitr01g2037011	3	IPR007259;IPR040457;IPR042241	"FAMILY:GCP";"DOMAIN:GCP_C";"HOMOLOGOUS_SUPERFAMILY:GCP_C_sf"
Dcitr03g1548011	6	IPR027266;IPR006222;IPR029043;IPR028896;IPR006223;IPR013977	"HOMOLOGOUS_SUPERFAMILY:TrmE/GcvT_dom1";"DOMAIN:GCV_T_N";"HOMOLOGOUS_SUPERFAMILY:GcvT/YgfZ_C";"FAMILY:GCST/YgfZ/DmdA";"FAMILY:GCS_T";"DOMAIN:GCV_T_C"
Dcitr00g0589011	7	IPR016185;IPR005479;IPR005481;IPR011764;IPR005482;IPR011054;IPR011761	"HOMOLOGOUS_SUPERFAMILY:PreATP-grasp_dom_sf";"DOMAIN:CbamoylP_synth_lsu-like_ATP-bd";"DOMAIN:BC-like_N";"DOMAIN:Biotin_carboxylation_dom";"DOMAIN:Biotin_COase_C";"HOMOLOGOUS_SUPERFAMILY:Rudment_hybrid_motif";"DOMAIN:ATP-grasp"
Dcitr00g0107011	1	IPR006968	"FAMILY:RUS_fam"
Dcitr07g1188011	2	IPR001952;IPR017850	"FAMILY:Alkaline_phosphatase";"HOMOLOGOUS_SUPERFAMILY:Alkaline_phosphatase_core_sf"
Dcitr03g0130011	1	IPR001577	"FAMILY:Peptidase_M8"
Dcitr09g0551011	5	IPR000997;IPR029058;IPR002018;IPR019819;IPR019826	"FAMILY:Cholinesterase";"HOMOLOGOUS_SUPERFAMILY:AB_hydrolase";"DOMAIN:CarbesteraseB";"CONSERVED_SITE:Carboxylesterase_B_CS";"ACTIVE_SITE:Carboxylesterase_B_AS"
Dcitr01g2002011	3	IPR013087;IPR003604;IPR036236	"DOMAIN:Znf_C2H2_type";"DOMAIN:Matrin/U1-like-C_Znf_C2H2";"HOMOLOGOUS_SUPERFAMILY:Znf_C2H2_sf"
Dcitr08g0541011	9	IPR000922;IPR000832;IPR036445;IPR017981;IPR043159;IPR032471;IPR017983;IPR000203;IPR031234	"DOMAIN:Lectin_gal-bd_dom";"FAMILY:GPCR_2_secretin-like";"HOMOLOGOUS_SUPERFAMILY:GPCR_2_extracell_dom_sf";"DOMAIN:GPCR_2-like";"HOMOLOGOUS_SUPERFAMILY:Lectin_gal-bd_sf";"DOMAIN:GAIN_dom_N";"CONSERVED_SITE:GPCR_2_secretin-like_CS";"DOMAIN:GPS";"FAMILY:Latrophilin-1"
Dcitr10g0458011	2	IPR036910;IPR009071	"HOMOLOGOUS_SUPERFAMILY:HMG_box_dom_sf";"DOMAIN:HMG_box_dom"
Dcitr03g2015011	3	IPR040468;IPR018799;IPR042576	"DOMAIN:TRAF3IP1_N";"FAMILY:TRAF3IP1";"HOMOLOGOUS_SUPERFAMILY:TRAF3IP1_N_sf"
Dcitr08g0419011	3	IPR039972;IPR006875;IPR029277	"FAMILY:Sarcoglycan_gamma/delta/zeta";"FAMILY:Sarcoglycan";"DOMAIN:SVWC_dom"
Dcitr09g0563012	5	IPR003593;IPR017871;IPR003439;IPR027417;IPR000412	"DOMAIN:AAA+_ATPase";"CONSERVED_SITE:ABC_transporter_CS";"DOMAIN:ABC_transporter-like";"HOMOLOGOUS_SUPERFAMILY:P-loop_NTPase";"FAMILY:ABC_2_transport"
Dcitr09g0232011	1	IPR002293	"FAMILY:AA/rel_permease1"
Dcitr02g0167012	2	IPR036458;IPR001991	"HOMOLOGOUS_SUPERFAMILY:Na:dicarbo_symporter_sf";"FAMILY:Na-dicarboxylate_symporter"
Dcitr02g1867011	3	IPR036236;IPR018289;IPR013087	"HOMOLOGOUS_SUPERFAMILY:Znf_C2H2_sf";"DOMAIN:MULE_transposase_dom";"DOMAIN:Znf_C2H2_type"
Dcitr06g0865011	2	IPR029058;IPR006693	"HOMOLOGOUS_SUPERFAMILY:AB_hydrolase";"DOMAIN:AB_hydrolase_lipase"
Dcitr03g0178011	2	IPR013320;IPR001791	"HOMOLOGOUS_SUPERFAMILY:ConA-like_dom_sf";"DOMAIN:Laminin_G"
Dcitr04g1483011	3	IPR014978;IPR030100;IPR014012	"DOMAIN:Gln-Leu-Gln_QLQ";"FAMILY:BRG1";"DOMAIN:HSA_dom"
Dcitr05g1466014	4	IPR012677;IPR035979;IPR000504;IPR035585	"HOMOLOGOUS_SUPERFAMILY:Nucleotide-bd_a/b_plait_sf";"HOMOLOGOUS_SUPERFAMILY:RBD_domain_sf";"DOMAIN:RRM_dom";"DOMAIN:RRM1_SRSF4-like"
Dcitr08g0764011	4	IPR042099;IPR025110;IPR000873;IPR032387	"HOMOLOGOUS_SUPERFAMILY:AMP-dep_Synthh-like_sf";"DOMAIN:AMP-bd_C";"DOMAIN:AMP-dep_Synth/Lig";"DOMAIN:ACAS_N"
Dcitr07g0306011	7	IPR020613;IPR020610;IPR020616;IPR016039;IPR020615;IPR020617;IPR002155	"CONSERVED_SITE:Thiolase_CS";"ACTIVE_SITE:Thiolase_AS";"DOMAIN:Thiolase_N";"HOMOLOGOUS_SUPERFAMILY:Thiolase-like";"ACTIVE_SITE:Thiolase_acyl_enz_int_AS";"DOMAIN:Thiolase_C";"FAMILY:Thiolase"
Dcitr03g1526011	2	IPR029055;IPR000246	"HOMOLOGOUS_SUPERFAMILY:Ntn_hydrolases_N";"FAMILY:Peptidase_T2"
Dcitr06g1427011	7	IPR035976;IPR000436;IPR014756;IPR003886;IPR013783;IPR001846;IPR005533	"HOMOLOGOUS_SUPERFAMILY:Sushi/SCR/CCP_sf";"DOMAIN:Sushi_SCR_CCP_dom";"HOMOLOGOUS_SUPERFAMILY:Ig_E-set";"DOMAIN:NIDO_dom";"HOMOLOGOUS_SUPERFAMILY:Ig-like_fold";"DOMAIN:VWF_type-D";"DOMAIN:AMOP_dom"
Dcitr04g0918013	3	IPR036179;IPR007110;IPR013783	"HOMOLOGOUS_SUPERFAMILY:Ig-like_dom_sf";"DOMAIN:Ig-like_dom";"HOMOLOGOUS_SUPERFAMILY:Ig-like_fold"
Dcitr09g0967011	1	IPR000477	"DOMAIN:RT_dom"
Dcitr13g0452011	2	IPR027806;IPR007513	"DOMAIN:HARBI1_dom";"DOMAIN:Uncharacterised_SERF_N"
Dcitr05g1172011	7	IPR001431;IPR002562;IPR011765;IPR007863;IPR012337;IPR011249;IPR006628	"BINDING_SITE:Pept_M16_Zn_BS";"DOMAIN:3'-5'_exonuclease_dom";"DOMAIN:Pept_M16_N";"DOMAIN:Peptidase_M16_C";"HOMOLOGOUS_SUPERFAMILY:RNaseH-like_sf";"HOMOLOGOUS_SUPERFAMILY:Metalloenz_LuxS/M16";"FAMILY:PUR-bd_fam"
Dcitr10g1028011	4	IPR013780;IPR017853;IPR000322;IPR030459	"HOMOLOGOUS_SUPERFAMILY:Glyco_hydro_b";"HOMOLOGOUS_SUPERFAMILY:Glycoside_hydrolase_SF";"FAMILY:Glyco_hydro_31";"CONSERVED_SITE:Glyco_hydro_31_CS"
Dcitr05g1437011	3	IPR007052;IPR037895;IPR008978	"DOMAIN:CS_dom";"FAMILY:NUDCD1";"HOMOLOGOUS_SUPERFAMILY:HSP20-like_chaperone"
Dcitr00g1523011	4	IPR014824;IPR034904;IPR035433;IPR036498	"DOMAIN:Nfu/NifU_N";"HOMOLOGOUS_SUPERFAMILY:FSCA_dom_sf";"FAMILY:NFU1-like";"HOMOLOGOUS_SUPERFAMILY:Nfu/NifU_N_sf"
Dcitr03g1056011	2	IPR036058;IPR002350	"HOMOLOGOUS_SUPERFAMILY:Kazal_dom_sf";"DOMAIN:Kazal_dom"
Dcitr06g0388011	10	IPR036388;IPR003018;IPR025995;IPR016197;IPR002717;IPR037906;IPR040706;IPR036971;IPR029016;IPR016181	"HOMOLOGOUS_SUPERFAMILY:WH-like_DNA-bd_sf";"DOMAIN:GAF";"DOMAIN:Tudor-knot";"HOMOLOGOUS_SUPERFAMILY:Chromo-like_dom_sf";"DOMAIN:HAT_MYST-type";"FAMILY:KAT8";"DOMAIN:Zf-MYST";"HOMOLOGOUS_SUPERFAMILY:PDEase_catalytic_dom_sf";"HOMOLOGOUS_SUPERFAMILY:GAF-like_dom_sf";"HOMOLOGOUS_SUPERFAMILY:Acyl_CoA_acyltransferase"
Dcitr03g0468011	2	IPR027054;IPR001296	"FAMILY:ALG2";"DOMAIN:Glyco_trans_1"
Dcitr12g0985011	5	IPR008972;IPR033138;IPR002355;IPR011706;IPR001117	"HOMOLOGOUS_SUPERFAMILY:Cupredoxin";"CONSERVED_SITE:Cu_oxidase_CS";"BINDING_SITE:Cu_oxidase_Cu_BS";"DOMAIN:Cu-oxidase_2";"DOMAIN:Cu-oxidase"
Dcitr03g1644011	1	IPR026180	"FAMILY:NSL1"
Dcitr13g0547011	2	IPR013087;IPR036236	"DOMAIN:Znf_C2H2_type";"HOMOLOGOUS_SUPERFAMILY:Znf_C2H2_sf"
Dcitr11g0949011	7	IPR017998;IPR027413;IPR002423;IPR027410;IPR027409;IPR012719;IPR002194	"FAMILY:Chaperone_TCP-1";"HOMOLOGOUS_SUPERFAMILY:GROEL-like_equatorial_sf";"FAMILY:Cpn60/TCP-1";"HOMOLOGOUS_SUPERFAMILY:TCP-1-like_intermed_sf";"HOMOLOGOUS_SUPERFAMILY:GroEL-like_apical_dom_sf";"FAMILY:Chap_CCT_gamma";"CONSERVED_SITE:Chaperonin_TCP-1_CS"
Dcitr02g1370011	3	IPR006689;IPR005225;IPR027417	"FAMILY:Small_GTPase_ARF/SAR";"DOMAIN:Small_GTP-bd_dom";"HOMOLOGOUS_SUPERFAMILY:P-loop_NTPase"
Dcitr01g0163012	2	IPR000615;IPR021134	"FAMILY:Bestrophin";"FAMILY:Bestrophin/UPF0187"
Dcitr06g0873011	1	IPR019137	"FAMILY:Nck-associated_protein-1"
Dcitr03g1524011	1	IPR022773	"FAMILY:Siva"
Dcitr01g0552011	4	IPR027417;IPR020590;IPR008144;IPR008145	"HOMOLOGOUS_SUPERFAMILY:P-loop_NTPase";"CONSERVED_SITE:Guanylate_kinase_CS";"DOMAIN:Guanylate_kin-like_dom";"DOMAIN:GK/Ca_channel_bsu"
Dcitr05g1025011	1	IPR021832	"FAMILY:ANKRD13"
Dcitr09g0250011	2	IPR002842;IPR038495	"FAMILY:ATPase_V1_Esu";"HOMOLOGOUS_SUPERFAMILY:ATPase_E_C"
Dcitr10g0738011	3	IPR006578;IPR039353;IPR004210	"DOMAIN:MADF-dom";"FAMILY:TF_Adf1";"DOMAIN:BESS_motif"
Dcitr04g1040011	4	IPR029035;IPR026590;IPR003000;IPR026591	"HOMOLOGOUS_SUPERFAMILY:DHS-like_NAD/FAD-binding_dom";"DOMAIN:Ssirtuin_cat_dom";"FAMILY:Sirtuin";"HOMOLOGOUS_SUPERFAMILY:Sirtuin_cat_small_dom_sf"
Dcitr06g0158011	3	IPR015421;IPR015424;IPR000192	"HOMOLOGOUS_SUPERFAMILY:PyrdxlP-dep_Trfase_major";"HOMOLOGOUS_SUPERFAMILY:PyrdxlP-dep_Trfase";"DOMAIN:Aminotrans_V_dom"
Dcitr12g0549012	3	IPR036568;IPR017939;IPR013024	"HOMOLOGOUS_SUPERFAMILY:GGCT-like_sf";"FAMILY:G-Glutamylcylcotransferase";"DOMAIN:GGCT-like"
Dcitr03g1121011	3	IPR006846;IPR000626;IPR029071	"FAMILY:Ribosomal_S30";"DOMAIN:Ubiquitin-like_dom";"HOMOLOGOUS_SUPERFAMILY:Ubiquitin-like_domsf"
Dcitr00g0302011	8	IPR039421;IPR027417;IPR003439;IPR036640;IPR017871;IPR011527;IPR000533;IPR003593	"FAMILY:Type_I_exporter";"HOMOLOGOUS_SUPERFAMILY:P-loop_NTPase";"DOMAIN:ABC_transporter-like";"HOMOLOGOUS_SUPERFAMILY:ABC1_TM_sf";"CONSERVED_SITE:ABC_transporter_CS";"DOMAIN:ABC1_TM_dom";"FAMILY:Tropomyosin";"DOMAIN:AAA+_ATPase"
Dcitr01g0306011	2	IPR026532;IPR007109	"FAMILY:BRX1";"DOMAIN:Brix"
Dcitr06g0909011	6	IPR034649;IPR011990;IPR041243;IPR006636;IPR013026;IPR019734	"DOMAIN:Hip_N";"HOMOLOGOUS_SUPERFAMILY:TPR-like_helical_dom_sf";"DOMAIN:STI1";"DOMAIN:STI1_HS-bd";"DOMAIN:TPR-contain_dom";"REPEAT:TPR_repeat"
Dcitr05g0382011	2	IPR035969;IPR000195	"HOMOLOGOUS_SUPERFAMILY:Rab-GTPase_TBC_sf";"DOMAIN:Rab-GTPase-TBC_dom"
Dcitr01g2080011	4	IPR004012;IPR036034;IPR037213;IPR001478	"DOMAIN:Run_dom";"HOMOLOGOUS_SUPERFAMILY:PDZ_sf";"HOMOLOGOUS_SUPERFAMILY:Run_dom_sf";"DOMAIN:PDZ"
Dcitr11g0869011	1	IPR024983	"DOMAIN:CHAT_dom"
Dcitr04g0362011	2	IPR013216;IPR029063	"DOMAIN:Methyltransf_11";"HOMOLOGOUS_SUPERFAMILY:SAM-dependent_MTases"
Dcitr03g1498011	1	IPR021640	"FAMILY:Mediator_Med28"
Dcitr11g0739011	1	IPR012582	"DOMAIN:NUC194"
Dcitr10g0292011	5	IPR016050;IPR001353;IPR029055;IPR000426;IPR023332	"CONSERVED_SITE:Proteasome_bsu_CS";"FAMILY:Proteasome_sua/b";"HOMOLOGOUS_SUPERFAMILY:Ntn_hydrolases_N";"DOMAIN:Proteasome_asu_N";"FAMILY:Proteasome_alpha-type"
Dcitr02g1251011	4	IPR036465;IPR013608;IPR002035;IPR013680	"HOMOLOGOUS_SUPERFAMILY:vWFA_dom_sf";"DOMAIN:VWA_N";"DOMAIN:VWF_A";"DOMAIN:VDCC_a2/dsu"
Dcitr04g1347011	3	IPR022967;IPR003029;IPR012340	"DOMAIN:S1_dom";"DOMAIN:S1_domain";"HOMOLOGOUS_SUPERFAMILY:NA-bd_OB-fold"
Dcitr00g0104011	3	IPR036971;IPR002073;IPR040844	"HOMOLOGOUS_SUPERFAMILY:PDEase_catalytic_dom_sf";"DOMAIN:PDEase_catalytic_dom";"DOMAIN:PDE4_UCR"
Dcitr12g0340012	4	IPR014729;IPR001453;IPR036425;IPR002500	"HOMOLOGOUS_SUPERFAMILY:Rossmann-like_a/b/a_fold";"DOMAIN:MoaB/Mog_dom";"HOMOLOGOUS_SUPERFAMILY:MoaB/Mog-like_dom_sf";"DOMAIN:PAPS_reduct"
Dcitr10g0197011	4	IPR006140;IPR036291;IPR029753;IPR006139	"DOMAIN:D-isomer_DH_NAD-bd";"HOMOLOGOUS_SUPERFAMILY:NAD(P)-bd_dom_sf";"CONSERVED_SITE:D-isomer_DH_CS";"DOMAIN:D-isomer_2_OHA_DH_cat_dom"
Dcitr12g0253011	4	IPR017972;IPR036396;IPR002401;IPR001128	"CONSERVED_SITE:Cyt_P450_CS";"HOMOLOGOUS_SUPERFAMILY:Cyt_P450_sf";"FAMILY:Cyt_P450_E_grp-I";"FAMILY:Cyt_P450"
Dcitr01g0764011	10	IPR005829;IPR005828;IPR007110;IPR003663;IPR003599;IPR013106;IPR036179;IPR020846;IPR036259;IPR013783	"CONSERVED_SITE:Sugar_transporter_CS";"FAMILY:MFS_sugar_transport-like";"DOMAIN:Ig-like_dom";"FAMILY:Sugar/inositol_transpt";"DOMAIN:Ig_sub";"DOMAIN:Ig_V-set";"HOMOLOGOUS_SUPERFAMILY:Ig-like_dom_sf";"DOMAIN:MFS_dom";"HOMOLOGOUS_SUPERFAMILY:MFS_trans_sf";"HOMOLOGOUS_SUPERFAMILY:Ig-like_fold"
Dcitr11g0129011	6	IPR001696;IPR002048;IPR005821;IPR031649;IPR027359;IPR043203	"FAMILY:Na_channel_asu";"DOMAIN:EF_hand_dom";"DOMAIN:Ion_trans_dom";"DOMAIN:GPHH_dom";"HOMOLOGOUS_SUPERFAMILY:Volt_channel_dom_sf";"FAMILY:VGCC_Ca_Na"
Dcitr07g0783011	2	IPR008435;IPR035914	"FAMILY:CRF-bd";"HOMOLOGOUS_SUPERFAMILY:Sperma_CUB_dom_sf"
Dcitr04g1490011	12	IPR006195;IPR033728;IPR004154;IPR002314;IPR002320;IPR012676;IPR018163;IPR036621;IPR004095;IPR012947;IPR012675;IPR036282	"DOMAIN:aa-tRNA-synth_II";"DOMAIN:ThrRS_core";"DOMAIN:Anticodon-bd";"DOMAIN:aa-tRNA-synt_IIb";"FAMILY:Thr-tRNA-ligase_IIa";"HOMOLOGOUS_SUPERFAMILY:TGS-like";"HOMOLOGOUS_SUPERFAMILY:Thr/Ala-tRNA-synth_IIc_edit";"HOMOLOGOUS_SUPERFAMILY:Anticodon-bd_dom_sf";"DOMAIN:TGS";"DOMAIN:tRNA_SAD";"HOMOLOGOUS_SUPERFAMILY:Beta-grasp_dom_sf";"HOMOLOGOUS_SUPERFAMILY:Glutathione-S-Trfase_C_sf"
Dcitr00g1262011	6	IPR027108;IPR011990;IPR003107;IPR013026;IPR019734;IPR010491	"FAMILY:Prp6/Prp1/STA1";"HOMOLOGOUS_SUPERFAMILY:TPR-like_helical_dom_sf";"REPEAT:HAT";"DOMAIN:TPR-contain_dom";"REPEAT:TPR_repeat";"DOMAIN:PRP1_N"
Dcitr01g1901011	1	IPR028002	"DOMAIN:Myb_DNA-bind_5"
Dcitr04g0333011	10	IPR003961;IPR036116;IPR013162;IPR007110;IPR003006;IPR003599;IPR013098;IPR036179;IPR013783;IPR003598	"DOMAIN:FN3_dom";"HOMOLOGOUS_SUPERFAMILY:FN3_sf";"DOMAIN:CD80_C2-set";"DOMAIN:Ig-like_dom";"CONSERVED_SITE:Ig/MHC_CS";"DOMAIN:Ig_sub";"DOMAIN:Ig_I-set";"HOMOLOGOUS_SUPERFAMILY:Ig-like_dom_sf";"HOMOLOGOUS_SUPERFAMILY:Ig-like_fold";"DOMAIN:Ig_sub2"
Dcitr02g1364011	3	IPR036322;IPR033312;IPR015943	"HOMOLOGOUS_SUPERFAMILY:WD40_repeat_dom_sf";"FAMILY:DDB2";"HOMOLOGOUS_SUPERFAMILY:WD40/YVTN_repeat-like_dom_sf"
Dcitr01g1634011	1	IPR038774	"FAMILY:CEP162-like"
Dcitr04g1671011	2	IPR040260;IPR012340	"FAMILY:RFA2-like";"HOMOLOGOUS_SUPERFAMILY:NA-bd_OB-fold"
Dcitr00g1040011	1	IPR011009	"HOMOLOGOUS_SUPERFAMILY:Kinase-like_dom_sf"
Dcitr05g0580011	3	IPR002915;IPR013785;IPR011343	"FAMILY:DeoC/FbaB/LacD_aldolase";"HOMOLOGOUS_SUPERFAMILY:Aldolase_TIM";"FAMILY:DeoC"
Dcitr08g0977011	4	IPR001356;IPR020479;IPR017970;IPR009057	"DOMAIN:Homeobox_dom";"DOMAIN:Homeobox_metazoa";"CONSERVED_SITE:Homeobox_CS";"HOMOLOGOUS_SUPERFAMILY:Homeobox-like_sf"
Dcitr01g0887015	7	IPR004088;IPR036875;IPR036612;IPR001878;IPR032570;IPR004087;IPR031150	"DOMAIN:KH_dom_type_1";"HOMOLOGOUS_SUPERFAMILY:Znf_CCHC_sf";"HOMOLOGOUS_SUPERFAMILY:KH_dom_type_1_sf";"DOMAIN:Znf_CCHC";"DOMAIN:SF1-HH";"DOMAIN:KH_dom";"FAMILY:BBP/SF1"
Dcitr07g0997011	3	IPR000719;IPR008271;IPR011009	"DOMAIN:Prot_kinase_dom";"ACTIVE_SITE:Ser/Thr_kinase_AS";"HOMOLOGOUS_SUPERFAMILY:Kinase-like_dom_sf"
Dcitr03g0889011	6	IPR012725;IPR018181;IPR043129;IPR029048;IPR013126;IPR029047	"FAMILY:Chaperone_DnaK";"CONSERVED_SITE:Heat_shock_70_CS";"HOMOLOGOUS_SUPERFAMILY:ATPase_NBD";"HOMOLOGOUS_SUPERFAMILY:HSP70_C_sf";"FAMILY:Hsp_70_fam";"HOMOLOGOUS_SUPERFAMILY:HSP70_peptide-bd_sf"
Dcitr02g1276011	2	IPR036259;IPR002666	"HOMOLOGOUS_SUPERFAMILY:MFS_trans_sf";"FAMILY:Folate_carrier"
Dcitr11g0822011	2	IPR018392;IPR036779	"DOMAIN:LysM_dom";"HOMOLOGOUS_SUPERFAMILY:LysM_dom_sf"
Dcitr06g1043011	2	IPR013087;IPR036236	"DOMAIN:Znf_C2H2_type";"HOMOLOGOUS_SUPERFAMILY:Znf_C2H2_sf"
Dcitr07g0853011	1	IPR031751	"FAMILY:DUF4735"
Dcitr00g0574011	2	IPR002076;IPR030457	"FAMILY:ELO_fam";"CONSERVED_SITE:ELO_CS"
Dcitr02g0324011	4	IPR036940;IPR018936;IPR011009;IPR000403	"HOMOLOGOUS_SUPERFAMILY:PI3/4_kinase_cat_sf";"CONSERVED_SITE:PI3/4_kinase_CS";"HOMOLOGOUS_SUPERFAMILY:Kinase-like_dom_sf";"DOMAIN:PI3/4_kinase_cat_dom"
Dcitr02g0661011	1	IPR017853	"HOMOLOGOUS_SUPERFAMILY:Glycoside_hydrolase_SF"
Dcitr01g1423011	2	IPR036258;IPR009283	"HOMOLOGOUS_SUPERFAMILY:Apyrase_sf";"FAMILY:Apyrase"
Dcitr04g0258011	5	IPR015943;IPR017986;IPR001680;IPR019775;IPR036322	"HOMOLOGOUS_SUPERFAMILY:WD40/YVTN_repeat-like_dom_sf";"DOMAIN:WD40_repeat_dom";"REPEAT:WD40_repeat";"CONSERVED_SITE:WD40_repeat_CS";"HOMOLOGOUS_SUPERFAMILY:WD40_repeat_dom_sf"
Dcitr02g1400011	3	IPR018108;IPR023395;IPR040011	"REPEAT:Mitochondrial_sb/sol_carrier";"HOMOLOGOUS_SUPERFAMILY:Mt_carrier_dom_sf";"FAMILY:UCP1"
Dcitr12g0559011	3	IPR006153;IPR018422;IPR004709	"DOMAIN:Cation/H_exchanger";"FAMILY:Cation/H_exchanger_CPA1";"FAMILY:NaH_exchanger"
Dcitr05g1623011	1	IPR004254	"FAMILY:AdipoR/HlyIII-related"
Dcitr05g0553011	3	IPR001828;IPR028082;IPR002455	"DOMAIN:ANF_lig-bd_rcpt";"HOMOLOGOUS_SUPERFAMILY:Peripla_BP_I";"FAMILY:GPCR3_GABA-B"
Dcitr12g0977011	1	IPR001414	"FAMILY:GPR143"
Dcitr13g0606011	3	IPR011004;IPR036236;IPR013087	"HOMOLOGOUS_SUPERFAMILY:Trimer_LpxA-like_sf";"HOMOLOGOUS_SUPERFAMILY:Znf_C2H2_sf";"DOMAIN:Znf_C2H2_type"
Dcitr10g0781011	5	IPR001611;IPR026906;IPR032675;IPR025875;IPR003591	"REPEAT:Leu-rich_rpt";"REPEAT:LRR_5";"HOMOLOGOUS_SUPERFAMILY:LRR_dom_sf";"REPEAT:Leu-rich_rpt_4";"REPEAT:Leu-rich_rpt_typical-subtyp"
Dcitr10g0692011	4	IPR001254;IPR018114;IPR009003;IPR001314	"DOMAIN:Trypsin_dom";"ACTIVE_SITE:TRYPSIN_HIS";"HOMOLOGOUS_SUPERFAMILY:Peptidase_S1_PA";"FAMILY:Peptidase_S1A"
Dcitr02g1385011	4	IPR000008;IPR001565;IPR015428;IPR035892	"DOMAIN:C2_dom";"DOMAIN:Synaptotagmin";"FAMILY:Synaptotagmin1";"HOMOLOGOUS_SUPERFAMILY:C2_domain_sf"
Dcitr00g1174011	3	IPR000679;IPR039355;IPR013088	"DOMAIN:Znf_GATA";"FAMILY:Transcription_factor_GATA";"HOMOLOGOUS_SUPERFAMILY:Znf_NHR/GATA"
Dcitr08g0345011	1	IPR004827	"DOMAIN:bZIP"
Dcitr03g0780011	3	IPR036291;IPR002347;IPR020904	"HOMOLOGOUS_SUPERFAMILY:NAD(P)-bd_dom_sf";"FAMILY:SDR_fam";"CONSERVED_SITE:Sc_DH/Rdtase_CS"
Dcitr11g0703011	3	IPR027417;IPR004130;IPR030228	"HOMOLOGOUS_SUPERFAMILY:P-loop_NTPase";"FAMILY:Gpn";"FAMILY:Gpn3"
Dcitr09g0338011	3	IPR011989;IPR040122;IPR016024	"HOMOLOGOUS_SUPERFAMILY:ARM-like";"FAMILY:Importin_beta";"HOMOLOGOUS_SUPERFAMILY:ARM-type_fold"
Dcitr01g1734011	2	IPR039931;IPR019448	"FAMILY:FAM102-like";"DOMAIN:NT-C2"
Dcitr03g1361011	3	IPR036305;IPR016137;IPR003114	"HOMOLOGOUS_SUPERFAMILY:RGS_sf";"DOMAIN:RGS";"DOMAIN:Phox_assoc"
