InterPro_ID	InterPro_Type_and_Name	Accession_Count	Accession_IDs
IPR008560	FAMILY:DUF842_euk	3	Dcitr03g0147011;Dcitr03g0146011;Dcitr03g0157011
IPR002088	REPEAT:Prenyl_trans_a	5	Dcitr04g0270011;Dcitr03g1389011;Dcitr03g1390011;Dcitr03g1394011;Dcitr04g0272011
IPR041951	DOMAIN:STARD10_START	5	Dcitr02g0685012;Dcitr02g0685013;Dcitr02g0685015;Dcitr02g0685011;Dcitr02g0685014
IPR027409	HOMOLOGOUS_SUPERFAMILY:GroEL-like_apical_dom_sf	17	Dcitr01g0531011;Dcitr06g0897011;Dcitr11g0793011;Dcitr11g0790011;Dcitr11g0949011;Dcitr00g0441011;Dcitr00g0795011;Dcitr05g1353011;Dcitr11g0787011;Dcitr01g1037011;Dcitr02g0238011;Dcitr11g0294011;Dcitr03g1869011;Dcitr11g0306011;Dcitr02g0236011;Dcitr00g1018011;Dcitr11g0293011
IPR023610	FAMILY:PInositol-4-P-5-kinase	5	Dcitr03g1233011;Dcitr03g1232011;Dcitr03g1230011;Dcitr01g2029011;Dcitr03g1229011
IPR007472	DOMAIN:N-end_Aminoacyl_Trfase_C	1	Dcitr01g2076011
IPR005680	FAMILY:Ribosomal_S23_euk/arc	2	Dcitr03g1917011;Dcitr03g1919011
IPR013078	FAMILY:His_Pase_superF_clade-1	14	Dcitr03g1785011;Dcitr03g1787011;Dcitr01g1952011;Dcitr02g1210011;Dcitr02g1216011;Dcitr00g0292011;Dcitr01g1539011;Dcitr00g1141011;Dcitr03g1799011;Dcitr03g1164011;Dcitr03g0693011;Dcitr02g1212011;Dcitr00g1454011;Dcitr01g1537011
IPR000620	DOMAIN:EamA_dom	2	Dcitr11g0337011;Dcitr11g0334011
IPR024933	FAMILY:STIP	1	Dcitr05g1038011
IPR038291	HOMOLOGOUS_SUPERFAMILY:SAP30_C_sf	1	Dcitr06g1453011
IPR037095	HOMOLOGOUS_SUPERFAMILY:RBP-J/Cbf11/Cbf12_DNA-bd_sf	2	Dcitr04g1159012;Dcitr04g1159011
IPR039680	FAMILY:PLEKHB1/2	1	Dcitr03g0865011
IPR015403	DOMAIN:Sec7_C	3	Dcitr08g0803011;Dcitr00g0812011;Dcitr01g0276011
IPR039531	FAMILY:Rpb5-like	2	Dcitr02g1988011;Dcitr00g0818011
IPR043189	FAMILY:B4GAT1	2	Dcitr06g1062011;Dcitr06g1045011
IPR006623	REPEAT:THEG	1	Dcitr13g0300011
IPR034686	FAMILY:Terpene_cyclase-like_2	1	Dcitr00g0999011
IPR002471	ACTIVE_SITE:Pept_S9_AS	3	Dcitr01g1720011;Dcitr02g1018011;Dcitr01g1720012
IPR000262	DOMAIN:FMN-dep_DH	8	Dcitr06g0442011;Dcitr00g1014011;Dcitr06g0446011;Dcitr00g1008011;Dcitr06g0457011;Dcitr06g0940011;Dcitr06g0453011;Dcitr06g0451011
IPR001529	DOMAIN:DNA-dir_RNA_pol_M/15kDasu	3	Dcitr02g0968011;Dcitr04g1445012;Dcitr04g1445011
IPR018488	CONSERVED_SITE:cNMP-bd_CS	18	Dcitr04g1189011;Dcitr05g0223012;Dcitr06g0615011;Dcitr13g0326011;Dcitr01g0103012;Dcitr00g0437011;Dcitr02g1619011;Dcitr05g0223011;Dcitr01g0103013;Dcitr12g0989011;Dcitr12g0991011;Dcitr12g0992011;Dcitr00g0436011;Dcitr12g0990011;Dcitr08g1159011;Dcitr01g0103011;Dcitr00g0783011;Dcitr05g0228011
IPR023696	HOMOLOGOUS_SUPERFAMILY:Ureohydrolase_dom_sf	14	Dcitr06g0468011;Dcitr02g0719011;Dcitr01g1571011;Dcitr06g0344011;Dcitr06g0469011;Dcitr04g1401011;Dcitr05g1195011;Dcitr04g1401012;Dcitr06g0463011;Dcitr01g1571012;Dcitr05g1193011;Dcitr04g1381011;Dcitr06g0340011;Dcitr12g0674011
IPR032691	DOMAIN:Sec7_N	4	Dcitr00g0812011;Dcitr08g0803011;Dcitr01g1350011;Dcitr10g0825011
IPR043161	HOMOLOGOUS_SUPERFAMILY:DOCK_C_lobe_A	4	Dcitr09g0396011;Dcitr00g1361011;Dcitr04g1259011;Dcitr01g1477011
IPR023614	HOMOLOGOUS_SUPERFAMILY:Porin_dom_sf	5	Dcitr02g1817011;Dcitr02g1811011;Dcitr01g0371011;Dcitr01g0371013;Dcitr01g0371012
IPR035024	DOMAIN:PLC-gamma_N-SH2	2	Dcitr05g0665011;Dcitr05g0669011
IPR011762	DOMAIN:COA_CT_N	5	Dcitr08g0433011;Dcitr00g0306011;Dcitr08g0430011;Dcitr08g0425011;Dcitr00g0303011
IPR010358	FAMILY:BRE	1	Dcitr10g0180011
IPR037895	FAMILY:NUDCD1	1	Dcitr05g1437011
IPR019561	DOMAIN:Translocon_Sec61/SecY_plug_dom	1	Dcitr11g0729011
IPR000447	FAMILY:G3P_DH_FAD-dep	1	Dcitr04g1331011
IPR043035	HOMOLOGOUS_SUPERFAMILY:Damage-induce-interact_sf	3	Dcitr06g0692011;Dcitr06g0687011;Dcitr06g0688011
IPR032191	DOMAIN:CNOT1_CAF1_bind	1	Dcitr05g0294011
IPR038727	DOMAIN:NadR/Ttd14_AAA_dom	1	Dcitr12g0794011
IPR031739	FAMILY:Ncaph2	1	Dcitr02g0966011
IPR029058	HOMOLOGOUS_SUPERFAMILY:AB_hydrolase	203	Dcitr05g1591011;Dcitr02g1397011;Dcitr12g0347011;Dcitr04g1000014;Dcitr13g0416011;Dcitr06g1517011;Dcitr12g0639011;Dcitr05g1630011;Dcitr04g0834011;Dcitr13g0415011;Dcitr12g0266011;Dcitr05g1289011;Dcitr00g1434011;Dcitr11g0584012;Dcitr06g1511011;Dcitr07g0589011;Dcitr08g0633011;Dcitr03g0643011;Dcitr11g0741011;Dcitr00g0562011;Dcitr00g1364011;Dcitr08g0793011;Dcitr07g0336011;Dcitr01g1252011;Dcitr13g0418011;Dcitr04g0841011;Dcitr02g0579011;Dcitr05g1452011;Dcitr03g1791012;Dcitr03g1837012;Dcitr07g1093013;Dcitr02g0189011;Dcitr12g0277011;Dcitr04g0379011;Dcitr01g1720012;Dcitr01g0789011;Dcitr03g1791011;Dcitr04g1644011;Dcitr04g0646011;Dcitr04g1000013;Dcitr04g0836011;Dcitr12g0281011;Dcitr03g1085011;Dcitr09g0560011;Dcitr02g1496011;Dcitr01g1720011;Dcitr01g1201011;Dcitr01g1169011;Dcitr04g0648013;Dcitr00g1109011;Dcitr02g0702011;Dcitr04g0838011;Dcitr00g0744011;Dcitr07g1093012;Dcitr01g1038011;Dcitr00g1442011;Dcitr12g0416011;Dcitr09g0623011;Dcitr03g1043012;Dcitr01g1332011;Dcitr00g0305011;Dcitr06g0931011;Dcitr05g0383011;Dcitr06g0121011;Dcitr12g0637011;Dcitr02g0524011;Dcitr06g0718011;Dcitr11g0825011;Dcitr11g0750011;Dcitr06g0433011;Dcitr05g1399011;Dcitr04g1640011;Dcitr01g1686011;Dcitr12g0850011;Dcitr06g1080011;Dcitr07g0150012;Dcitr06g0526011;Dcitr02g1855011;Dcitr03g1083011;Dcitr00g0304011;Dcitr05g1288011;Dcitr12g0419011;Dcitr06g0865011;Dcitr03g1085014;Dcitr01g1037011;Dcitr09g0631011;Dcitr00g0150011;Dcitr07g0150011;Dcitr09g0551011;Dcitr02g0470012;Dcitr12g0266013;Dcitr11g0584011;Dcitr02g1018011;Dcitr02g1130011;Dcitr06g1518011;Dcitr01g0279011;Dcitr01g1623011;Dcitr08g0381011;Dcitr02g1853011;Dcitr12g0627011;Dcitr10g0580011;Dcitr04g1000012;Dcitr01g1251011;Dcitr00g0148011;Dcitr02g0565011;Dcitr02g1393011;Dcitr02g0568011;Dcitr12g0735011;Dcitr01g0285011;Dcitr08g1103011;Dcitr08g1101011;Dcitr02g1020011;Dcitr02g1087011;Dcitr06g0862011;Dcitr01g0780011;Dcitr10g1097011;Dcitr02g0523011;Dcitr10g0455011;Dcitr04g1000011;Dcitr08g1005011;Dcitr02g1122011;Dcitr12g0419012;Dcitr04g1451011;Dcitr02g1966011;Dcitr04g0648011;Dcitr06g0844011;Dcitr11g0534011;Dcitr11g0781011;Dcitr05g1589011;Dcitr06g0865013;Dcitr05g1288012;Dcitr04g0837012;Dcitr10g0812011;Dcitr11g0394011;Dcitr03g1837011;Dcitr03g1033011;Dcitr11g0593011;Dcitr04g0837011;Dcitr11g0823011;Dcitr01g1201014;Dcitr00g0305012;Dcitr06g0931012;Dcitr08g1102011;Dcitr01g1035011;Dcitr05g1548011;Dcitr03g0644011;Dcitr02g1711011;Dcitr07g1093011;Dcitr00g0699011;Dcitr04g0972011;Dcitr12g0266012;Dcitr01g1201013;Dcitr02g1125011;Dcitr02g1144011;Dcitr01g0788011;Dcitr06g0842011;Dcitr12g0282011;Dcitr06g0307011;Dcitr02g0470011;Dcitr09g0464011;Dcitr03g1837013;Dcitr01g1175011;Dcitr01g0775011;Dcitr03g1043011;Dcitr09g0239011;Dcitr01g0779011;Dcitr06g1075011;Dcitr01g1531011;Dcitr04g0839011;Dcitr10g0575011;Dcitr05g1546011;Dcitr09g0468011;Dcitr08g0385011;Dcitr07g0592011;Dcitr01g1983011;Dcitr02g1268011;Dcitr05g0104011;Dcitr04g0648012;Dcitr05g1403011;Dcitr09g0561011;Dcitr01g1201012;Dcitr01g0776011;Dcitr07g1233011;Dcitr03g1035011;Dcitr07g1093014;Dcitr04g0843011;Dcitr12g0282012;Dcitr00g1253011;Dcitr00g1162011;Dcitr03g1085012;Dcitr08g0634011;Dcitr06g1510011;Dcitr00g0714011;Dcitr06g0865012;Dcitr02g1854011;Dcitr02g1852011;Dcitr04g0842011;Dcitr00g0149011;Dcitr05g0107011;Dcitr03g1085013;Dcitr01g1036011;Dcitr04g1000015;Dcitr02g1711012
IPR029054	DOMAIN:dUTPase-like	1	Dcitr05g1446011
IPR014721	HOMOLOGOUS_SUPERFAMILY:Ribosomal_S5_D2-typ_fold_subgr	29	Dcitr05g1054011;Dcitr10g1098011;Dcitr03g1772011;Dcitr01g0978011;Dcitr04g1126011;Dcitr01g0977011;Dcitr01g0980011;Dcitr03g1819011;Dcitr11g0519011;Dcitr04g0977011;Dcitr01g0162011;Dcitr01g1602011;Dcitr03g1818011;Dcitr11g0510011;Dcitr03g1779011;Dcitr06g0389011;Dcitr03g1175011;Dcitr03g1181011;Dcitr05g1669011;Dcitr10g1094011;Dcitr00g0751011;Dcitr00g0692011;Dcitr07g0131011;Dcitr05g1058011;Dcitr05g1217011;Dcitr06g0391011;Dcitr09g0812011;Dcitr00g1329011;Dcitr05g1673011
IPR026112	FAMILY:AMN	1	Dcitr02g0169011
IPR004155	REPEAT:PBS_lyase_HEAT	3	Dcitr05g1608011;Dcitr01g1841011;Dcitr05g1614011
IPR005031	DOMAIN:COQ10_START	2	Dcitr02g1197011;Dcitr02g1208011
IPR022671	CONSERVED_SITE:Ribosomal_L2_CS	2	Dcitr09g0220011;Dcitr09g0197011
IPR029004	DOMAIN:L28e/Mak16	3	Dcitr05g0270011;Dcitr04g1366011;Dcitr05g0261011
IPR033086	FAMILY:NOVA1	2	Dcitr03g0350011;Dcitr03g0349011
IPR041562	DOMAIN:MCM_lid	17	Dcitr07g1120011;Dcitr09g0128011;Dcitr03g0959011;Dcitr09g0555011;Dcitr04g1332012;Dcitr03g1469011;Dcitr13g0332011;Dcitr09g0135011;Dcitr13g0320011;Dcitr03g0961011;Dcitr03g0960011;Dcitr07g1118011;Dcitr04g1332011;Dcitr00g1508011;Dcitr00g0381011;Dcitr02g0472011;Dcitr07g1122011
IPR004680	DOMAIN:Cit_transptr-like_dom	3	Dcitr02g0299011;Dcitr02g0300011;Dcitr02g0298011
IPR027751	FAMILY:TTLL9	1	Dcitr02g0577011
IPR033930	DOMAIN:FAM43A/B_PTB	1	Dcitr09g0622011
IPR028363	FAMILY:RPB6	1	Dcitr01g1336011
IPR013967	DOMAIN:Rad54_N	1	Dcitr05g0446011
IPR032752	DOMAIN:DC-UbP/UBTD2_N	1	Dcitr03g0761011
IPR006636	DOMAIN:STI1_HS-bd	6	Dcitr06g0909013;Dcitr05g0934011;Dcitr06g0909011;Dcitr02g1367011;Dcitr06g0909012;Dcitr11g0414011
IPR036957	HOMOLOGOUS_SUPERFAMILY:Znf_PARP_sf	1	Dcitr08g0889011
IPR030332	FAMILY:SERCA1/2	2	Dcitr10g0499011;Dcitr10g0501011
IPR019397	FAMILY:Uncharacterised_TMEM39	2	Dcitr02g0809011;Dcitr02g0809012
IPR039975	FAMILY:IFT52	1	Dcitr02g1851011
IPR024986	DOMAIN:Nipped-B_C	2	Dcitr05g1159011;Dcitr10g0579011
IPR024725	DOMAIN:E3_UbLigase_EDD_UBA	2	Dcitr09g0407011;Dcitr09g0413011
IPR039503	DOMAIN:BARD1_Znf-RING	1	Dcitr04g1105011
IPR019872	FAMILY:Sec-tRNA_Se_transferase	2	Dcitr03g0191011;Dcitr03g0189011
IPR038466	HOMOLOGOUS_SUPERFAMILY:S8_pro-domain_sf	11	Dcitr11g0549011;Dcitr11g0754011;Dcitr08g0689011;Dcitr11g0760011;Dcitr08g0689013;Dcitr11g0758011;Dcitr11g0755011;Dcitr11g0764011;Dcitr08g0689014;Dcitr03g0376011;Dcitr08g0689012
IPR001031	DOMAIN:Thioesterase	5	Dcitr00g0562011;Dcitr00g0699011;Dcitr12g0282011;Dcitr12g0282012;Dcitr12g0281011
IPR019142	FAMILY:Dymeclin	3	Dcitr06g1507013;Dcitr06g1507012;Dcitr06g1507011
IPR036964	HOMOLOGOUS_SUPERFAMILY:RASGEF_cat_dom_sf	25	Dcitr04g0591011;Dcitr06g1373011;Dcitr03g0341011;Dcitr03g2005011;Dcitr11g0664011;Dcitr02g1574014;Dcitr02g1574013;Dcitr04g0172011;Dcitr02g1374011;Dcitr02g1574011;Dcitr05g0227011;Dcitr02g1574012;Dcitr00g0860011;Dcitr08g0939011;Dcitr04g0172012;Dcitr06g1369011;Dcitr06g1373012;Dcitr03g2006011;Dcitr06g1369012;Dcitr06g1373013;Dcitr05g0230011;Dcitr06g0259011;Dcitr11g0664012;Dcitr02g1574015;Dcitr00g1318011
IPR003663	FAMILY:Sugar/inositol_transpt	51	Dcitr05g1401011;Dcitr01g0565011;Dcitr04g1502014;Dcitr11g0979011;Dcitr05g1392011;Dcitr01g0387013;Dcitr09g0230011;Dcitr10g1075012;Dcitr01g0556011;Dcitr04g1502013;Dcitr09g0732011;Dcitr08g0488011;Dcitr03g0365011;Dcitr01g0764011;Dcitr09g0732012;Dcitr09g0839011;Dcitr02g0918011;Dcitr12g0574011;Dcitr10g1075011;Dcitr01g0760011;Dcitr01g0558011;Dcitr01g0385011;Dcitr13g0688011;Dcitr01g0561011;Dcitr13g0689011;Dcitr01g0387011;Dcitr09g0231011;Dcitr03g1609011;Dcitr09g0838011;Dcitr09g0832011;Dcitr01g1121011;Dcitr01g0558012;Dcitr07g1269011;Dcitr00g0324011;Dcitr04g1480011;Dcitr01g0560011;Dcitr01g0559011;Dcitr09g0745011;Dcitr01g0565012;Dcitr01g0387012;Dcitr09g0840011;Dcitr02g1785011;Dcitr01g1219011;Dcitr04g1502011;Dcitr01g1771011;Dcitr05g1395011;Dcitr08g0772011;Dcitr02g1223011;Dcitr04g1502012;Dcitr04g1502015;Dcitr09g0836011
IPR008494	FAMILY:DUF776	2	Dcitr12g0706011;Dcitr12g0707011
IPR032277	DOMAIN:40S_S4_C	2	Dcitr05g1156011;Dcitr05g1154011
IPR041228	DOMAIN:Dynein_C	18	Dcitr03g1587011;Dcitr13g0472011;Dcitr04g0609011;Dcitr05g0798011;Dcitr05g1277011;Dcitr05g1263011;Dcitr02g0198011;Dcitr05g1271011;Dcitr05g1275011;Dcitr05g1276011;Dcitr04g0523011;Dcitr03g2112011;Dcitr05g0797011;Dcitr04g0615011;Dcitr07g0413011;Dcitr05g1262011;Dcitr13g0484011;Dcitr04g1178011
IPR008339	FAMILY:Dishevelled_fam	1	Dcitr01g0383011
IPR007238	FAMILY:DNA_primase_lsu_euk/arc	3	Dcitr05g1005011;Dcitr05g1019011;Dcitr00g0505011
IPR036400	HOMOLOGOUS_SUPERFAMILY:Cyt_B5-like_heme/steroid_sf	12	Dcitr03g1643011;Dcitr01g0860012;Dcitr01g0860011;Dcitr12g0625013;Dcitr02g1739011;Dcitr12g0852012;Dcitr12g0625012;Dcitr02g1739012;Dcitr12g0852011;Dcitr12g0625011;Dcitr02g1968011;Dcitr08g0732011
IPR014042	HOMOLOGOUS_SUPERFAMILY:Glutathione_synthase_a-hlx	1	Dcitr05g0988011
IPR001030	DOMAIN:Acoase/IPM_deHydtase_lsu_aba	7	Dcitr07g0374011;Dcitr03g1621011;Dcitr07g0373011;Dcitr03g1190011;Dcitr03g1192011;Dcitr07g0372011;Dcitr07g0371011
IPR040855	DOMAIN:ORC_WH_C	1	Dcitr00g0413011
IPR036948	HOMOLOGOUS_SUPERFAMILY:Ribosomal_L21_sf	4	Dcitr06g0228011;Dcitr06g0206011;Dcitr06g0230011;Dcitr00g0738011
IPR018350	CONSERVED_SITE:Transcription_factor_COE_CS	3	Dcitr03g0140012;Dcitr03g0141011;Dcitr03g0140011
IPR037862	DOMAIN:PLC-beta_PH	4	Dcitr08g0298012;Dcitr08g0284011;Dcitr08g0298011;Dcitr02g0900011
IPR003113	DOMAIN:PI3K_adapt-bd_dom	2	Dcitr02g0132011;Dcitr02g0133011
IPR022613	DOMAIN:CAMSAP_CH	1	Dcitr00g1396011
IPR036742	HOMOLOGOUS_SUPERFAMILY:ATP_synth_F1_esu_sf_mt	2	Dcitr05g1059011;Dcitr05g1053011
IPR010750	DOMAIN:SGF29_tudor-like_dom	2	Dcitr06g0376011;Dcitr06g0376012
IPR013838	BINDING_SITE:Beta-tubulin_BS	5	Dcitr03g0169011;Dcitr04g0107011;Dcitr08g0368011;Dcitr01g1496011;Dcitr01g1500011
IPR006032	FAMILY:Ribosomal_S12/S23	3	Dcitr07g0381011;Dcitr03g1917011;Dcitr03g1919011
IPR007811	FAMILY:RPC4	2	Dcitr10g0291011;Dcitr10g0293011
IPR035490	DOMAIN:GlmS/FrlB_SIS	3	Dcitr06g0629012;Dcitr06g0629011;Dcitr06g0624011
IPR009292	FAMILY:RRP36	1	Dcitr03g0876011
IPR001067	FAMILY:Nuc_translocat	9	Dcitr08g1084011;Dcitr05g0548011;Dcitr05g1644013;Dcitr03g2031011;Dcitr02g0788011;Dcitr08g1089011;Dcitr05g1644012;Dcitr05g0558011;Dcitr05g1644011
IPR021600	DOMAIN:TFIIE_asu_C	1	Dcitr00g1439011
IPR000811	FAMILY:Glyco_trans_35	2	Dcitr02g0325011;Dcitr02g0339011
IPR031943	DOMAIN:CARMIL_C	3	Dcitr12g0931011;Dcitr12g0929011;Dcitr12g0933011
IPR039751	FAMILY:HERPUD1/2	4	Dcitr13g0695011;Dcitr13g0691011;Dcitr13g0693012;Dcitr13g0693011
IPR006509	FAMILY:RBM39_SF	3	Dcitr00g1376011;Dcitr00g1376012;Dcitr00g1488011
IPR040546	DOMAIN:Rege-1_UBA-like	1	Dcitr00g0222011
IPR019465	FAMILY:Cog5	1	Dcitr04g1361011
IPR006297	FAMILY:EF-4	2	Dcitr06g1032011;Dcitr06g1035011
IPR040223	FAMILY:PAR_bZIP	2	Dcitr05g0278011;Dcitr05g0280011
IPR011705	DOMAIN:BACK	55	Dcitr10g1090013;Dcitr11g0903012;Dcitr10g0416011;Dcitr01g0499011;Dcitr00g1004012;Dcitr00g0923011;Dcitr13g0438012;Dcitr03g1539011;Dcitr00g1261011;Dcitr11g0903013;Dcitr13g0438011;Dcitr03g1153011;Dcitr04g1381011;Dcitr03g1149011;Dcitr07g0257011;Dcitr04g1706015;Dcitr03g1149012;Dcitr00g1288011;Dcitr03g1154011;Dcitr00g1004011;Dcitr03g1530011;Dcitr03g1534011;Dcitr04g1706012;Dcitr04g1706011;Dcitr03g1536011;Dcitr00g0249011;Dcitr00g0252011;Dcitr10g0417011;Dcitr10g0422011;Dcitr00g1202011;Dcitr03g1149014;Dcitr04g1706014;Dcitr13g0443011;Dcitr10g0355011;Dcitr03g1149013;Dcitr01g2157011;Dcitr07g0216011;Dcitr00g1271011;Dcitr11g0903011;Dcitr04g1018011;Dcitr10g1090012;Dcitr04g1397011;Dcitr04g1706013;Dcitr13g0306011;Dcitr11g0997012;Dcitr01g1227011;Dcitr13g0306012;Dcitr10g1090011;Dcitr04g1348011;Dcitr08g1265011;Dcitr11g0997011;Dcitr01g2173011;Dcitr02g1665011;Dcitr11g0997013;Dcitr06g0567011
IPR035482	DOMAIN:SIS_PGI_2	1	Dcitr00g0646011
IPR032843	DOMAIN:Jiv	1	Dcitr01g0404011
IPR000210	DOMAIN:BTB/POZ_dom	145	Dcitr11g0903013;Dcitr09g0875012;Dcitr00g1261011;Dcitr05g0137011;Dcitr01g0367011;Dcitr01g0211011;Dcitr00g1004012;Dcitr03g1533011;Dcitr03g1426011;Dcitr10g0417011;Dcitr03g1149014;Dcitr06g1011011;Dcitr09g0324011;Dcitr04g1706012;Dcitr10g1090012;Dcitr03g0232011;Dcitr01g1512011;Dcitr01g0212011;Dcitr04g1397011;Dcitr06g0960011;Dcitr08g0968011;Dcitr07g0216011;Dcitr01g2157011;Dcitr01g1229011;Dcitr03g1149013;Dcitr09g0876011;Dcitr11g0903011;Dcitr10g0509011;Dcitr00g1271011;Dcitr09g0876013;Dcitr01g0464011;Dcitr13g0306011;Dcitr08g0747011;Dcitr09g0310011;Dcitr05g0585011;Dcitr00g0879011;Dcitr09g0327012;Dcitr10g0512011;Dcitr02g1611011;Dcitr07g1009011;Dcitr10g0262011;Dcitr00g1139012;Dcitr06g1328011;Dcitr10g0574011;Dcitr01g0499011;Dcitr01g1742011;Dcitr10g0422011;Dcitr00g0249011;Dcitr10g0574013;Dcitr05g0924011;Dcitr04g1021011;Dcitr10g0573011;Dcitr03g1149012;Dcitr07g0257011;Dcitr04g1706011;Dcitr12g0274011;Dcitr10g0611011;Dcitr00g1023011;Dcitr08g0119011;Dcitr10g0613011;Dcitr10g0612011;Dcitr05g0588011;Dcitr07g1011011;Dcitr04g1232011;Dcitr06g0567011;Dcitr01g1060011;Dcitr09g0327011;Dcitr04g1348011;Dcitr05g0465011;Dcitr07g0259011;Dcitr06g0572011;Dcitr05g0463011;Dcitr03g1539011;Dcitr04g1381011;Dcitr03g1149011;Dcitr03g1153011;Dcitr05g0266011;Dcitr10g1090013;Dcitr04g1440011;Dcitr07g0255011;Dcitr11g0899011;Dcitr00g0252011;Dcitr05g0604011;Dcitr00g1288011;Dcitr04g1706015;Dcitr04g1698011;Dcitr03g1536011;Dcitr12g0750011;Dcitr01g2170011;Dcitr08g0839011;Dcitr04g1177011;Dcitr01g0458011;Dcitr11g0717011;Dcitr07g0252011;Dcitr04g1439011;Dcitr09g0567011;Dcitr01g2173011;Dcitr08g1265011;Dcitr06g1573011;Dcitr09g0876012;Dcitr07g0533011;Dcitr05g0774011;Dcitr13g0306012;Dcitr11g0997012;Dcitr04g1706013;Dcitr02g1646011;Dcitr03g1421011;Dcitr07g1007011;Dcitr09g0875011;Dcitr08g0953011;Dcitr03g1422011;Dcitr05g1706011;Dcitr10g0260011;Dcitr13g0438011;Dcitr10g0416011;Dcitr11g0903012;Dcitr13g0438012;Dcitr00g0923011;Dcitr05g0461011;Dcitr01g1161011;Dcitr04g1706014;Dcitr00g1202011;Dcitr00g1004011;Dcitr06g1338011;Dcitr03g1154011;Dcitr07g0256011;Dcitr10g0574012;Dcitr09g0556011;Dcitr10g0899011;Dcitr05g0464011;Dcitr03g0244011;Dcitr11g0361011;Dcitr06g1336011;Dcitr10g0360011;Dcitr08g0747012;Dcitr03g0535011;Dcitr04g1700011;Dcitr11g0997013;Dcitr11g0997011;Dcitr00g1139011;Dcitr09g0325011;Dcitr04g0421011;Dcitr10g1090011;Dcitr01g1227011;Dcitr09g0875013
IPR011106	DOMAIN:MANSC_N	3	Dcitr02g0396011;Dcitr13g0151011;Dcitr13g0154011
IPR036734	HOMOLOGOUS_SUPERFAMILY:Neur_chan_lig-bd_sf	46	Dcitr08g1055011;Dcitr07g0177011;Dcitr07g0594011;Dcitr01g0845011;Dcitr08g1154011;Dcitr11g0607011;Dcitr07g0176011;Dcitr02g0917011;Dcitr08g0514011;Dcitr08g0537011;Dcitr08g0539011;Dcitr03g1552011;Dcitr03g0809011;Dcitr11g0637011;Dcitr03g0883011;Dcitr08g0540011;Dcitr08g1164011;Dcitr01g0846011;Dcitr11g0606011;Dcitr01g0842011;Dcitr03g1552012;Dcitr07g0733011;Dcitr07g0680011;Dcitr02g0916011;Dcitr10g0162011;Dcitr03g0886011;Dcitr03g1561011;Dcitr00g0963011;Dcitr02g0917012;Dcitr05g1727011;Dcitr02g1179011;Dcitr11g0843011;Dcitr02g1277011;Dcitr08g1162011;Dcitr05g1414011;Dcitr02g1401011;Dcitr03g0464011;Dcitr02g1180011;Dcitr02g0917013;Dcitr02g0916012;Dcitr01g0843011;Dcitr08g0511011;Dcitr03g0810011;Dcitr11g0842011;Dcitr07g0735011;Dcitr05g1415011
IPR028974	HOMOLOGOUS_SUPERFAMILY:TSP_type-3_rpt	1	Dcitr02g1615011
IPR020801	DOMAIN:PKS_acyl_transferase	9	Dcitr02g0310011;Dcitr07g1045011;Dcitr07g1043011;Dcitr05g1525011;Dcitr02g0336011;Dcitr02g1501011;Dcitr02g1496011;Dcitr12g0282011;Dcitr12g0282012
IPR012348	HOMOLOGOUS_SUPERFAMILY:RNR-like	6	Dcitr10g0109011;Dcitr00g0799011;Dcitr10g0113011;Dcitr10g0111012;Dcitr10g0111011;Dcitr10g0106011
IPR037745	DOMAIN:SGSM1/2	1	Dcitr11g0746011
IPR039906	FAMILY:Anc-1-like	1	Dcitr08g0222011
IPR001241	FAMILY:Topo_IIA	2	Dcitr00g1329011;Dcitr01g1602011
IPR036589	HOMOLOGOUS_SUPERFAMILY:HCY_dom_sf	8	Dcitr00g0957011;Dcitr04g0132011;Dcitr04g0132012;Dcitr04g0748011;Dcitr00g1322011;Dcitr04g0130011;Dcitr04g0758011;Dcitr04g0128011
IPR030671	FAMILY:Sec61-beta/Sbh	1	Dcitr04g0321011
IPR008853	FAMILY:TMEM9	2	Dcitr05g1074011;Dcitr05g1065011
IPR041082	DOMAIN:Suv3_C_1	1	Dcitr09g0932011
IPR030395	DOMAIN:GP_PDE_dom	5	Dcitr04g1360011;Dcitr10g0732011;Dcitr04g1360013;Dcitr00g0650011;Dcitr04g1360012
IPR007133	FAMILY:RNA_pol_II-assoc_Paf1	3	Dcitr03g0364011;Dcitr03g0367011;Dcitr03g0365011
