Accession_ID	Pathway_Count	Pathway_IDs	Pathway_Names
Dcitr02g0478011	1	Reactome: R-HSA-373752	"Netrin-1 signaling"
Dcitr10g0562011	1	Reactome: R-HSA-6782315	"tRNA modification in the nucleus and cytosol"
Dcitr08g0490012	9	Reactome: R-HSA-4420097;Reactome: R-HSA-114604;Reactome: R-HSA-2871796;Reactome: R-HSA-2871809;Reactome: R-HSA-2029482;Reactome: R-HSA-194840;Reactome: R-HSA-416482;Reactome: R-HSA-193648;Reactome: R-HSA-5218920	"VEGFA-VEGFR2 Pathway";"GPVI-mediated activation cascade";"FCERI mediated MAPK activation";"FCERI mediated Ca+2 mobilization";"Regulation of actin dynamics for phagocytic cup formation";"Rho GTPase cycle";"G alpha (12/13) signalling events";"NRAGE signals death through JNK";"VEGFR2 mediated vascular permeability"
Dcitr06g0328011	1	Reactome: R-HSA-9640463	"Wax biosynthesis"
Dcitr00g1074012	1	Reactome: R-HSA-373752	"Netrin-1 signaling"
Dcitr12g0787011	1	Reactome: R-HSA-3371453	"Regulation of HSF1-mediated heat shock response"
Dcitr02g0445011	2	Reactome: R-HSA-432720;Reactome: R-HSA-432722	"Lysosome Vesicle Biogenesis";"Golgi Associated Vesicle Biogenesis"
Dcitr01g0392012	1	Reactome: R-HSA-983168	"Antigen processing: Ubiquitination &amp; Proteasome degradation"
Dcitr05g0468011	15	Reactome: R-HSA-975956;Reactome: R-HSA-156902;Reactome: R-HSA-192823;Reactome: R-HSA-72695;Reactome: R-HSA-2408557;Reactome: R-HSA-72764;Reactome: R-HSA-72649;Reactome: R-HSA-975957;Reactome: R-HSA-72706;Reactome: R-HSA-6791226;Reactome: R-HSA-9010553;Reactome: R-HSA-1799339;Reactome: R-HSA-156827;Reactome: R-HSA-72702;Reactome: R-HSA-72689	"Nonsense Mediated Decay (NMD) independent of the Exon Junction Complex (EJC)";"Peptide chain elongation";"Viral mRNA Translation";"Formation of the ternary complex, and subsequently, the 43S complex";"Selenocysteine synthesis";"Eukaryotic Translation Termination";"Translation initiation complex formation";"Nonsense Mediated Decay (NMD) enhanced by the Exon Junction Complex (EJC)";"GTP hydrolysis and joining of the 60S ribosomal subunit";"Major pathway of rRNA processing in the nucleolus and cytosol";"Regulation of expression of SLITs and ROBOs";"SRP-dependent cotranslational protein targeting to membrane";"L13a-mediated translational silencing of Ceruloplasmin expression";"Ribosomal scanning and start codon recognition";"Formation of a pool of free 40S subunits"
Dcitr11g0555012	5	Reactome: R-HSA-8875360;Reactome: R-HSA-8856828;Reactome: R-HSA-8856825;Reactome: R-HSA-182971;Reactome: R-HSA-6807004	"InlB-mediated entry of Listeria monocytogenes into host cell";"Clathrin-mediated endocytosis";"Cargo recognition for clathrin-mediated endocytosis";"EGFR downregulation";"Negative regulation of MET activity"
Dcitr05g1361011	1	Reactome: R-HSA-389957	"Prefoldin mediated transfer of substrate to CCT/TriC"
Dcitr01g1286011	1	Reactome: R-HSA-2514859	"Inactivation, recovery and regulation of the phototransduction cascade"
Dcitr01g1405011	1	Reactome: R-HSA-5624958	"ARL13B-mediated ciliary trafficking of INPP5E"
Dcitr01g1092011	1	Reactome: R-HSA-6783310	"Fanconi Anemia Pathway"
Dcitr02g0868011	24	Reactome: R-HSA-392851;Reactome: R-HSA-500657;Reactome: R-HSA-418597;Reactome: R-HSA-418555;Reactome: R-HSA-428930;Reactome: R-HSA-6814122;Reactome: R-HSA-416482;Reactome: R-HSA-400042;Reactome: R-HSA-456926;Reactome: R-HSA-9009391;Reactome: R-HSA-8964315;Reactome: R-HSA-418217;Reactome: R-HSA-8964616;Reactome: R-HSA-4086398;Reactome: R-HSA-418594;Reactome: R-HSA-432040;Reactome: R-HSA-420092;Reactome: R-HSA-163359;Reactome: R-HSA-416476;Reactome: R-HSA-392170;Reactome: R-HSA-202040;Reactome: R-HSA-392451;Reactome: R-HSA-381676;Reactome: R-HSA-418592	"Prostacyclin signalling through prostacyclin receptor";"Presynaptic function of Kainate receptors";"G alpha (z) signalling events";"G alpha (s) signalling events";"Thromboxane signalling through TP receptor";"Cooperation of PDCL (PhLP1) and TRiC/CCT in G-protein beta folding";"G alpha (12/13) signalling events";"Adrenaline,noradrenaline inhibits insulin secretion";"Thrombin signalling through proteinase activated receptors (PARs)";"Extra-nuclear estrogen signaling";"G beta:gamma signalling through BTK";"G beta:gamma signalling through PLC beta";"G beta:gamma signalling through CDC42";"Ca2+ pathway";"G alpha (i) signalling events";"Vasopressin regulates renal water homeostasis via Aquaporins";"Glucagon-type ligand receptors";"Glucagon signaling in metabolic regulation";"G alpha (q) signalling events";"ADP signalling through P2Y purinoceptor 12";"G-protein activation";"G beta:gamma signalling through PI3Kgamma";"Glucagon-like Peptide-1 (GLP1) regulates insulin secretion";"ADP signalling through P2Y purinoceptor 1"
Dcitr00g0705011	12	Reactome: R-HSA-975956;Reactome: R-HSA-156902;Reactome: R-HSA-192823;Reactome: R-HSA-72764;Reactome: R-HSA-2408557;Reactome: R-HSA-975957;Reactome: R-HSA-72706;Reactome: R-HSA-156827;Reactome: R-HSA-9010553;Reactome: R-HSA-1799339;Reactome: R-HSA-6791226;Reactome: R-HSA-72689	"Nonsense Mediated Decay (NMD) independent of the Exon Junction Complex (EJC)";"Peptide chain elongation";"Viral mRNA Translation";"Eukaryotic Translation Termination";"Selenocysteine synthesis";"Nonsense Mediated Decay (NMD) enhanced by the Exon Junction Complex (EJC)";"GTP hydrolysis and joining of the 60S ribosomal subunit";"L13a-mediated translational silencing of Ceruloplasmin expression";"Regulation of expression of SLITs and ROBOs";"SRP-dependent cotranslational protein targeting to membrane";"Major pathway of rRNA processing in the nucleolus and cytosol";"Formation of a pool of free 40S subunits"
Dcitr06g1034013	3	Reactome: R-HSA-3108214;Reactome: R-HSA-5696395;Reactome: R-HSA-5696394	"SUMOylation of DNA damage response and repair proteins";"Formation of Incision Complex in GG-NER";"DNA Damage Recognition in GG-NER"
Dcitr07g0172011	8	Reactome: R-HSA-182971;Reactome: R-HSA-8856828;Reactome: R-HSA-5689880;Reactome: R-HSA-8875360;Reactome: R-HSA-6807004;Reactome: R-HSA-917729;Reactome: R-HSA-432720;Reactome: R-HSA-8856825	"EGFR downregulation";"Clathrin-mediated endocytosis";"Ub-specific processing proteases";"InlB-mediated entry of Listeria monocytogenes into host cell";"Negative regulation of MET activity";"Endosomal Sorting Complex Required For Transport (ESCRT)";"Lysosome Vesicle Biogenesis";"Cargo recognition for clathrin-mediated endocytosis"
Dcitr01g0322011	1	Reactome: R-HSA-425410	"Metal ion SLC transporters"
Dcitr01g0292011	1	Reactome: R-HSA-9018519	"Estrogen-dependent gene expression"
Dcitr05g0572011	1	Reactome: R-HSA-5358493	"Synthesis of diphthamide-EEF2"
Dcitr09g0265011	23	Reactome: R-HSA-437239;Reactome: R-HSA-2132295;Reactome: R-HSA-2467813;Reactome: R-HSA-6811434;Reactome: R-HSA-5626467;Reactome: R-HSA-8955332;Reactome: R-HSA-389977;Reactome: R-HSA-190861;Reactome: R-HSA-9609736;Reactome: R-HSA-1445148;Reactome: R-HSA-190840;Reactome: R-HSA-3371497;Reactome: R-HSA-68877;Reactome: R-HSA-6807878;Reactome: R-HSA-389960;Reactome: R-HSA-380320;Reactome: R-HSA-2500257;Reactome: R-HSA-9619483;Reactome: R-HSA-5663220;Reactome: R-HSA-983189;Reactome: R-HSA-6811436;Reactome: R-HSA-8852276;Reactome: R-HSA-5617833	"Recycling pathway of L1";"MHC class II antigen presentation";"Separation of Sister Chromatids";"COPI-dependent Golgi-to-ER retrograde traffic";"RHO GTPases activate IQGAPs";"Carboxyterminal post-translational modifications of tubulin";"Post-chaperonin tubulin folding pathway";"Gap junction assembly";"Assembly and cell surface presentation of NMDA receptors";"Translocation of SLC2A4 (GLUT4) to the plasma membrane";"Microtubule-dependent trafficking of connexons from Golgi to the plasma membrane";"HSP90 chaperone cycle for steroid hormone receptors (SHR)";"Mitotic Prometaphase";"COPI-mediated anterograde transport";"Formation of tubulin folding intermediates by CCT/TriC";"Recruitment of NuMA to mitotic centrosomes";"Resolution of Sister Chromatid Cohesion";"Activation of AMPK downstream of NMDARs";"RHO GTPases Activate Formins";"Kinesins";"COPI-independent Golgi-to-ER retrograde traffic";"The role of GTSE1 in G2/M progression after G2 checkpoint";"Cilium Assembly"
Dcitr01g0328011	6	Reactome: R-HSA-6811434;Reactome: R-HSA-6811438;Reactome: R-HSA-6811440;Reactome: R-HSA-416993;Reactome: R-HSA-204005;Reactome: R-HSA-6807878	"COPI-dependent Golgi-to-ER retrograde traffic";"Intra-Golgi traffic";"Retrograde transport at the Trans-Golgi-Network";"Trafficking of GluR2-containing AMPA receptors";"COPII-mediated vesicle transport";"COPI-mediated anterograde transport"
Dcitr02g0765011	16	Reactome: R-HSA-975871;Reactome: R-HSA-975138;Reactome: R-HSA-9020702;Reactome: R-HSA-5603041;Reactome: R-HSA-975110;Reactome: R-HSA-1257604;Reactome: R-HSA-975155;Reactome: R-HSA-166058;Reactome: R-HSA-1236974;Reactome: R-HSA-209543;Reactome: R-HSA-1810476;Reactome: R-HSA-5602498;Reactome: R-HSA-5602680;Reactome: R-HSA-6811558;Reactome: R-HSA-3134963;Reactome: R-HSA-5603037	"MyD88 cascade initiated on plasma membrane";"TRAF6 mediated induction of NFkB and MAP kinases upon TLR7/8 or 9 activation";"Interleukin-1 signaling";"IRAK4 deficiency (TLR2/4)";"TRAF6 mediated IRF7 activation in TLR7/8 or 9 signaling";"PIP3 activates AKT signaling";"MyD88 dependent cascade initiated on endosome";"MyD88:MAL(TIRAP) cascade initiated on plasma membrane";"ER-Phagosome pathway";"p75NTR recruits signalling complexes";"RIP-mediated NFkB activation via ZBP1";"MyD88 deficiency (TLR2/4)";"MyD88 deficiency (TLR5)";"PI5P, PP2A and IER3 Regulate PI3K/AKT Signaling";"DEx/H-box helicases activate type I IFN and inflammatory cytokines production";"IRAK4 deficiency (TLR5)"
Dcitr00g1074011	1	Reactome: R-HSA-373752	"Netrin-1 signaling"
Dcitr06g1378011	1	Reactome: R-HSA-72163	"mRNA Splicing - Major Pathway"
Dcitr12g0340011	1	Reactome: R-HSA-196843	"Vitamin B2 (riboflavin) metabolism"
Dcitr06g1228011	1	Reactome: R-HSA-983168	"Antigen processing: Ubiquitination &amp; Proteasome degradation"
Dcitr03g1919011	15	Reactome: R-HSA-6791226;Reactome: R-HSA-9010553;Reactome: R-HSA-156827;Reactome: R-HSA-1799339;Reactome: R-HSA-72702;Reactome: R-HSA-72689;Reactome: R-HSA-975957;Reactome: R-HSA-72706;Reactome: R-HSA-192823;Reactome: R-HSA-2408557;Reactome: R-HSA-72764;Reactome: R-HSA-72695;Reactome: R-HSA-72649;Reactome: R-HSA-975956;Reactome: R-HSA-156902	"Major pathway of rRNA processing in the nucleolus and cytosol";"Regulation of expression of SLITs and ROBOs";"L13a-mediated translational silencing of Ceruloplasmin expression";"SRP-dependent cotranslational protein targeting to membrane";"Ribosomal scanning and start codon recognition";"Formation of a pool of free 40S subunits";"Nonsense Mediated Decay (NMD) enhanced by the Exon Junction Complex (EJC)";"GTP hydrolysis and joining of the 60S ribosomal subunit";"Viral mRNA Translation";"Selenocysteine synthesis";"Eukaryotic Translation Termination";"Formation of the ternary complex, and subsequently, the 43S complex";"Translation initiation complex formation";"Nonsense Mediated Decay (NMD) independent of the Exon Junction Complex (EJC)";"Peptide chain elongation"
Dcitr02g0957011	2	Reactome: R-HSA-5619061;Reactome: R-HSA-425397	"Defective SLC33A1 causes spastic paraplegia 42 (SPG42)";"Transport of vitamins, nucleosides, and related molecules"
Dcitr12g0662011	1	Reactome: R-HSA-196783	"Coenzyme A biosynthesis"
Dcitr09g0832011	1	Reactome: R-HSA-189200	"Cellular hexose transport"
Dcitr03g0852011	2	Reactome: R-HSA-8876198;Reactome: R-HSA-204005	"RAB GEFs exchange GTP for GDP on RABs";"COPII-mediated vesicle transport"
Dcitr06g0318012	1	Reactome: R-HSA-936837	"Ion transport by P-type ATPases"
Dcitr04g0817011	2	Reactome: R-HSA-5689880;Reactome: R-HSA-110320	"Ub-specific processing proteases";"Translesion Synthesis by POLH"
Dcitr06g1343011	1	Reactome: R-HSA-913709	"O-linked glycosylation of mucins"
Dcitr10g0301011	1	Reactome: R-HSA-8876198	"RAB GEFs exchange GTP for GDP on RABs"
Dcitr08g1249012	1	Reactome: R-HSA-418990	"Adherens junctions interactions"
Dcitr01g1942011	3	Reactome: R-HSA-210500;Reactome: R-HSA-5628897;Reactome: R-HSA-8964539	"Glutamate Neurotransmitter Release Cycle";"TP53 Regulates Metabolic Genes";"Glutamate and glutamine metabolism"
Dcitr05g1054011	3	Reactome: R-HSA-191273;Reactome: R-HSA-446199;Reactome: R-HSA-2426168	"Cholesterol biosynthesis";"Synthesis of Dolichyl-phosphate";"Activation of gene expression by SREBF (SREBP)"
Dcitr03g0103011	1	Reactome: R-HSA-156588	"Glucuronidation"
Dcitr05g0687011	2	Reactome: R-HSA-9603798;Reactome: R-HSA-1369062	"Class I peroxisomal membrane protein import";"ABC transporters in lipid homeostasis"
Dcitr01g0974011	1	Reactome: R-HSA-499943	"Interconversion of nucleotide di- and triphosphates"
Dcitr02g0134011	1	Reactome: R-HSA-4551638	"SUMOylation of chromatin organization proteins"
Dcitr01g1119011	1	Reactome: R-HSA-70171	"Glycolysis"
Dcitr03g1793011	1	Reactome: R-HSA-8955332	"Carboxyterminal post-translational modifications of tubulin"
Dcitr12g0437011	9	Reactome: R-HSA-75953;Reactome: R-HSA-167162;Reactome: R-HSA-6804756;Reactome: R-HSA-73779;Reactome: R-HSA-167172;Reactome: R-HSA-674695;Reactome: R-HSA-73776;Reactome: R-HSA-167161;Reactome: R-HSA-76042	"RNA Polymerase II Transcription Initiation";"RNA Polymerase II HIV Promoter Escape";"Regulation of TP53 Activity through Phosphorylation";"RNA Polymerase II Transcription Pre-Initiation And Promoter Opening";"Transcription of the HIV genome";"RNA Polymerase II Pre-transcription Events";"RNA Polymerase II Promoter Escape";"HIV Transcription Initiation";"RNA Polymerase II Transcription Initiation And Promoter Clearance"
Dcitr04g0432011	1	Reactome: R-HSA-1268020	"Mitochondrial protein import"
Dcitr06g0712011	3	Reactome: R-HSA-72187;Reactome: R-HSA-159236;Reactome: R-HSA-73856	"mRNA 3'-end processing";"Transport of Mature mRNA derived from an Intron-Containing Transcript";"RNA Polymerase II Transcription Termination"
Dcitr12g0835011	12	Reactome: R-HSA-72706;Reactome: R-HSA-975957;Reactome: R-HSA-72689;Reactome: R-HSA-9010553;Reactome: R-HSA-156827;Reactome: R-HSA-1799339;Reactome: R-HSA-6791226;Reactome: R-HSA-156902;Reactome: R-HSA-975956;Reactome: R-HSA-72764;Reactome: R-HSA-2408557;Reactome: R-HSA-192823	"GTP hydrolysis and joining of the 60S ribosomal subunit";"Nonsense Mediated Decay (NMD) enhanced by the Exon Junction Complex (EJC)";"Formation of a pool of free 40S subunits";"Regulation of expression of SLITs and ROBOs";"L13a-mediated translational silencing of Ceruloplasmin expression";"SRP-dependent cotranslational protein targeting to membrane";"Major pathway of rRNA processing in the nucleolus and cytosol";"Peptide chain elongation";"Nonsense Mediated Decay (NMD) independent of the Exon Junction Complex (EJC)";"Eukaryotic Translation Termination";"Selenocysteine synthesis";"Viral mRNA Translation"
Dcitr02g0942011	7	Reactome: R-HSA-3214842;Reactome: R-HSA-983231;Reactome: R-HSA-9029569;Reactome: R-HSA-8943724;Reactome: R-HSA-9018519;Reactome: R-HSA-5625886;Reactome: R-HSA-3214815	"HDMs demethylate histones";"Factors involved in megakaryocyte development and platelet production";"NR1H3 &amp; NR1H2 regulate gene expression linked to cholesterol transport and efflux";"Regulation of PTEN gene transcription";"Estrogen-dependent gene expression";"Activated PKN1 stimulates transcription of AR (androgen receptor) regulated genes KLK2 and KLK3";"HDACs deacetylate histones"
Dcitr00g0167011	1	Reactome: R-HSA-9033241	"Peroxisomal protein import"
Dcitr02g1994011	1	Reactome: R-HSA-1369062	"ABC transporters in lipid homeostasis"
Dcitr09g0773011	16	Reactome: R-HSA-983168;Reactome: R-HSA-6796648;Reactome: R-HSA-180585;Reactome: R-HSA-167238;Reactome: R-HSA-167246;Reactome: R-HSA-167243;Reactome: R-HSA-167152;Reactome: R-HSA-674695;Reactome: R-HSA-112382;Reactome: R-HSA-1234176;Reactome: R-HSA-8951664;Reactome: R-HSA-167200;Reactome: R-HSA-167290;Reactome: R-HSA-9010553;Reactome: R-HSA-167287;Reactome: R-HSA-75955	"Antigen processing: Ubiquitination &amp; Proteasome degradation";"TP53 Regulates Transcription of DNA Repair Genes";"Vif-mediated degradation of APOBEC3G";"Pausing and recovery of Tat-mediated HIV elongation";"Tat-mediated elongation of the HIV-1 transcript";"Tat-mediated HIV elongation arrest and recovery";"Formation of HIV elongation complex in the absence of HIV Tat";"RNA Polymerase II Pre-transcription Events";"Formation of RNA Pol II elongation complex";"Oxygen-dependent proline hydroxylation of Hypoxia-inducible Factor Alpha";"Neddylation";"Formation of HIV-1 elongation complex containing HIV-1 Tat";"Pausing and recovery of HIV elongation";"Regulation of expression of SLITs and ROBOs";"HIV elongation arrest and recovery";"RNA Polymerase II Transcription Elongation"
Dcitr10g0849011	3	Reactome: R-HSA-400253;Reactome: R-HSA-163560;Reactome: R-HSA-2173788	"Circadian Clock";"Triglyceride catabolism";"Downregulation of TGF-beta receptor signaling"
Dcitr13g0451011	4	Reactome: R-HSA-6814122;Reactome: R-HSA-418594;Reactome: R-HSA-112043;Reactome: R-HSA-202040	"Cooperation of PDCL (PhLP1) and TRiC/CCT in G-protein beta folding";"G alpha (i) signalling events";"PLC beta mediated events";"G-protein activation"
Dcitr07g0292011	6	Reactome: R-HSA-5693616;Reactome: R-HSA-6804756;Reactome: R-HSA-69473;Reactome: R-HSA-5693607;Reactome: R-HSA-176187;Reactome: R-HSA-5685938	"Presynaptic phase of homologous DNA pairing and strand exchange";"Regulation of TP53 Activity through Phosphorylation";"G2/M DNA damage checkpoint";"Processing of DNA double-strand break ends";"Activation of ATR in response to replication stress";"HDR through Single Strand Annealing (SSA)"
Dcitr00g0729011	4	Reactome: R-HSA-2022857;Reactome: R-HSA-1660662;Reactome: R-HSA-2024101;Reactome: R-HSA-2160916	"Keratan sulfate degradation";"Glycosphingolipid metabolism";"CS/DS degradation";"Hyaluronan uptake and degradation"
Dcitr03g0485011	1	Reactome: R-HSA-5368286	"Mitochondrial translation initiation"
Dcitr10g0859011	1	Reactome: R-HSA-6782315	"tRNA modification in the nucleus and cytosol"
Dcitr09g0137011	1	Reactome: R-HSA-6794361	"Neurexins and neuroligins"
Dcitr01g0558012	1	Reactome: R-HSA-189200	"Cellular hexose transport"
Dcitr01g1113011	2	Reactome: R-HSA-6784531;Reactome: R-HSA-6791226	"tRNA processing in the nucleus";"Major pathway of rRNA processing in the nucleolus and cytosol"
Dcitr12g0381011	1	Reactome: R-HSA-2132295	"MHC class II antigen presentation"
Dcitr11g0137012	4	Reactome: R-HSA-69205;Reactome: R-HSA-176974;Reactome: R-HSA-176187;Reactome: R-HSA-68962	"G1/S-Specific Transcription";"Unwinding of DNA";"Activation of ATR in response to replication stress";"Activation of the pre-replicative complex"
Dcitr07g0477011	1	Reactome: R-HSA-5620924	"Intraflagellar transport"
Dcitr10g0601011	3	Reactome: R-HSA-110329;Reactome: R-HSA-110357;Reactome: R-HSA-110328	"Cleavage of the damaged pyrimidine";"Displacement of DNA glycosylase by APEX1";"Recognition and association of DNA glycosylase with site containing an affected pyrimidine"
Dcitr07g0689011	1	Reactome: R-HSA-8949613	"Cristae formation"
Dcitr01g1931011	1	Reactome: R-HSA-2672351	"Stimuli-sensing channels"
Dcitr05g0622011	2	Reactome: R-HSA-388479;Reactome: R-HSA-416476	"Vasopressin-like receptors";"G alpha (q) signalling events"
Dcitr03g1844011	1	Reactome: R-HSA-499943	"Interconversion of nucleotide di- and triphosphates"
Dcitr09g0522011	1	Reactome: R-HSA-71403	"Citric acid cycle (TCA cycle)"
Dcitr02g1048011	1	Reactome: R-HSA-5649702	"APEX1-Independent Resolution of AP Sites via the Single Nucleotide Replacement Pathway"
Dcitr11g0422011	1	Reactome: R-HSA-8856825	"Cargo recognition for clathrin-mediated endocytosis"
Dcitr10g0930012	6	Reactome: R-HSA-72706;Reactome: R-HSA-72649;Reactome: R-HSA-72702;Reactome: R-HSA-72689;Reactome: R-HSA-72695;Reactome: R-HSA-156827	"GTP hydrolysis and joining of the 60S ribosomal subunit";"Translation initiation complex formation";"Ribosomal scanning and start codon recognition";"Formation of a pool of free 40S subunits";"Formation of the ternary complex, and subsequently, the 43S complex";"L13a-mediated translational silencing of Ceruloplasmin expression"
Dcitr03g0116011	3	Reactome: R-HSA-5389840;Reactome: R-HSA-5368286;Reactome: R-HSA-5419276	"Mitochondrial translation elongation";"Mitochondrial translation initiation";"Mitochondrial translation termination"
Dcitr01g0675011	1	Reactome: R-HSA-1362409	"Mitochondrial iron-sulfur cluster biogenesis"
Dcitr06g1396011	1	Reactome: R-HSA-114508	"Effects of PIP2 hydrolysis"
Dcitr05g0794011	1	Reactome: R-HSA-2672351	"Stimuli-sensing channels"
Dcitr00g1325011	9	Reactome: R-HSA-167162;Reactome: R-HSA-75953;Reactome: R-HSA-76042;Reactome: R-HSA-167161;Reactome: R-HSA-674695;Reactome: R-HSA-73776;Reactome: R-HSA-167172;Reactome: R-HSA-73779;Reactome: R-HSA-6807505	"RNA Polymerase II HIV Promoter Escape";"RNA Polymerase II Transcription Initiation";"RNA Polymerase II Transcription Initiation And Promoter Clearance";"HIV Transcription Initiation";"RNA Polymerase II Pre-transcription Events";"RNA Polymerase II Promoter Escape";"Transcription of the HIV genome";"RNA Polymerase II Transcription Pre-Initiation And Promoter Opening";"RNA polymerase II transcribes snRNA genes"
Dcitr00g1196011	2	Reactome: R-HSA-191859;Reactome: R-HSA-6807505	"snRNP Assembly";"RNA polymerase II transcribes snRNA genes"
Dcitr00g1241011	1	Reactome: R-HSA-983168	"Antigen processing: Ubiquitination &amp; Proteasome degradation"
Dcitr00g0836011	1	Reactome: R-HSA-8876198	"RAB GEFs exchange GTP for GDP on RABs"
Dcitr03g0843012	1	Reactome: R-HSA-9640463	"Wax biosynthesis"
Dcitr12g0519011	2	Reactome: R-HSA-163210;Reactome: R-HSA-8949613	"Formation of ATP by chemiosmotic coupling";"Cristae formation"
Dcitr02g0738011	56	Reactome: R-HSA-202424;Reactome: R-HSA-5689880;Reactome: R-HSA-180585;Reactome: R-HSA-5610783;Reactome: R-HSA-382556;Reactome: R-HSA-5607764;Reactome: R-HSA-174184;Reactome: R-HSA-1169091;Reactome: R-HSA-2871837;Reactome: R-HSA-174113;Reactome: R-HSA-349425;Reactome: R-HSA-983168;Reactome: R-HSA-174084;Reactome: R-HSA-350562;Reactome: R-HSA-5678895;Reactome: R-HSA-9020702;Reactome: R-HSA-8852276;Reactome: R-HSA-5658442;Reactome: R-HSA-5610785;Reactome: R-HSA-195253;Reactome: R-HSA-8951664;Reactome: R-HSA-1234176;Reactome: R-HSA-5607761;Reactome: R-HSA-9604323;Reactome: R-HSA-69481;Reactome: R-HSA-5668541;Reactome: R-HSA-69601;Reactome: R-HSA-180534;Reactome: R-HSA-5610780;Reactome: R-HSA-5687128;Reactome: R-HSA-174154;Reactome: R-HSA-8854050;Reactome: R-HSA-1236978;Reactome: R-HSA-5632684;Reactome: R-HSA-68949;Reactome: R-HSA-2467813;Reactome: R-HSA-5689603;Reactome: R-HSA-4608870;Reactome: R-HSA-174178;Reactome: R-HSA-8948751;Reactome: R-HSA-187577;Reactome: R-HSA-8941858;Reactome: R-HSA-5362768;Reactome: R-HSA-8939902;Reactome: R-HSA-75815;Reactome: R-HSA-5676590;Reactome: R-HSA-68827;Reactome: R-HSA-69017;Reactome: R-HSA-5358346;Reactome: R-HSA-1236974;Reactome: R-HSA-211733;Reactome: R-HSA-9010553;Reactome: R-HSA-4641257;Reactome: R-HSA-4641258;Reactome: R-HSA-8939236;Reactome: R-HSA-450408	"Downstream TCR signaling";"Ub-specific processing proteases";"Vif-mediated degradation of APOBEC3G";"Degradation of GLI2 by the proteasome";"ABC-family proteins mediated transport";"CLEC7A (Dectin-1) signaling";"Cdc20:Phospho-APC/C mediated degradation of Cyclin A";"Activation of NF-kappaB in B cells";"FCERI mediated NF-kB activation";"SCF-beta-TrCP mediated degradation of Emi1";"Autodegradation of the E3 ubiquitin ligase COP1";"Antigen processing: Ubiquitination &amp; Proteasome degradation";"Autodegradation of Cdh1 by Cdh1:APC/C";"Regulation of ornithine decarboxylase (ODC)";"Defective CFTR causes cystic fibrosis";"Interleukin-1 signaling";"The role of GTSE1 in G2/M progression after G2 checkpoint";"Regulation of RAS by GAPs";"GLI3 is processed to GLI3R by the proteasome";"Degradation of beta-catenin by the destruction complex";"Neddylation";"Oxygen-dependent proline hydroxylation of Hypoxia-inducible Factor Alpha";"Dectin-1 mediated noncanonical NF-kB signaling";"Negative regulation of NOTCH4 signaling";"G2/M Checkpoints";"TNFR2 non-canonical NF-kB pathway";"Ubiquitin Mediated Degradation of Phosphorylated Cdc25A";"Vpu mediated degradation of CD4";"Degradation of GLI1 by the proteasome";"MAPK6/MAPK4 signaling";"APC/C:Cdc20 mediated degradation of Securin";"FBXL7 down-regulates AURKA during mitotic entry and in early mitosis";"Cross-presentation of soluble exogenous antigens (endosomes)";"Hedgehog 'on' state";"Orc1 removal from chromatin";"Separation of Sister Chromatids";"UCH proteinases";"Asymmetric localization of PCP proteins";"APC/C:Cdh1 mediated degradation of Cdc20 and other APC/C:Cdh1 targeted proteins in late mitosis/early G1";"Regulation of PTEN stability and activity";"SCF(Skp2)-mediated degradation of p27/p21";"Regulation of RUNX3 expression and activity";"Hh mutants that don't undergo autocatalytic processing are degraded by ERAD";"Regulation of RUNX2 expression and activity";"Ubiquitin-dependent degradation of Cyclin D";"NIK--&gt;noncanonical NF-kB signaling";"CDT1 association with the CDC6:ORC:origin complex";"CDK-mediated phosphorylation and removal of Cdc6";"Hedgehog ligand biogenesis";"ER-Phagosome pathway";"Regulation of activated PAK-2p34 by proteasome mediated degradation";"Regulation of expression of SLITs and ROBOs";"Degradation of AXIN";"Degradation of DVL";"RUNX1 regulates transcription of genes involved in differentiation of HSCs";"AUF1 (hnRNP D0) binds and destabilizes mRNA"
Dcitr00g1136011	1	Reactome: R-HSA-196843	"Vitamin B2 (riboflavin) metabolism"
