Accession_ID	GO_Count	BP_GO_IDs	BP_GO_Names	MF_GO_IDs	MF_GO_Names	CC_GO_IDs	CC_GO_Names
Dcitr01g2134011	1			GO:0005509	"calcium ion binding"		
Dcitr01g1376011	3	GO:0055114	"oxidation-reduction process"	GO:0004488;GO:0003824	"methylenetetrahydrofolate dehydrogenase (NADP+) activity";"catalytic activity"		
Dcitr12g0415011	2			GO:0003676;GO:0005524	"nucleic acid binding";"ATP binding"		
Dcitr09g0399011	4	GO:0006310	"DNA recombination"	GO:0004386;GO:0003676;GO:0005524	"helicase activity";"nucleic acid binding";"ATP binding"		
Dcitr08g0243011	5	GO:0019752;GO:0006520	"carboxylic acid metabolic process";"cellular amino acid metabolic process"	GO:0030170;GO:0003824;GO:0016831	"pyridoxal phosphate binding";"catalytic activity";"carboxy-lyase activity"		
Dcitr07g0795011	5	GO:0050909;GO:0007200;GO:0007186	"sensory perception of taste";"phospholipase C-activating G protein-coupled receptor signaling pathway";"G protein-coupled receptor signaling pathway"	GO:0003924	"GTPase activity"	GO:0005834	"heterotrimeric G-protein complex"
Dcitr12g0342011	2			GO:0016887;GO:0005524	"ATPase activity";"ATP binding"		
Dcitr09g0146011	1	GO:0008299	"isoprenoid biosynthetic process"				
Dcitr07g0826011	5	GO:0016567;GO:0006397	"protein ubiquitination";"mRNA processing"	GO:0061630;GO:0008270;GO:0003676	"ubiquitin protein ligase activity";"zinc ion binding";"nucleic acid binding"		
Dcitr05g0109011	4	GO:0006355	"regulation of transcription, DNA-templated"	GO:0003677;GO:0003707	"DNA binding";"steroid hormone receptor activity"	GO:0042025	"host cell nucleus"
Dcitr08g0586011	1			GO:0003676	"nucleic acid binding"		
Dcitr11g0702011	3	GO:0007017	"microtubule-based process"			GO:0005875;GO:0030286	"microtubule associated complex";"dynein complex"
Dcitr08g0358011	5	GO:0007186	"G protein-coupled receptor signaling pathway"	GO:0016907;GO:0004930	"G protein-coupled acetylcholine receptor activity";"G protein-coupled receptor activity"	GO:0005887;GO:0016021	"integral component of plasma membrane";"integral component of membrane"
Dcitr00g1529011	2			GO:0003676;GO:0008270	"nucleic acid binding";"zinc ion binding"		
Dcitr00g1143011	1	GO:0055114	"oxidation-reduction process"				
Dcitr02g1230011	2			GO:0018025	"calmodulin-lysine N-methyltransferase activity"	GO:0005737	"cytoplasm"
Dcitr01g1833011	2	GO:0000398;GO:0000956	"mRNA splicing, via spliceosome";"nuclear-transcribed mRNA catabolic process"				
Dcitr10g0837011	1			GO:0003723	"RNA binding"		
Dcitr00g0581011	1			GO:0005524	"ATP binding"		
Dcitr00g0697011	5	GO:0006508	"proteolysis"	GO:0004222;GO:0008270;GO:0008237	"metalloendopeptidase activity";"zinc ion binding";"metallopeptidase activity"	GO:0031012	"extracellular matrix"
Dcitr11g0919013	4	GO:0018344	"protein geranylgeranylation"	GO:0003824;GO:0004661	"catalytic activity";"protein geranylgeranyltransferase activity"	GO:0005953	"CAAX-protein geranylgeranyltransferase complex"
Dcitr02g0395011	4	GO:0005975	"carbohydrate metabolic process"	GO:0003824;GO:0008061	"catalytic activity";"chitin binding"	GO:0005576	"extracellular region"
Dcitr03g1020011	2	GO:0006464	"cellular protein modification process"	GO:0008641	"ubiquitin-like modifier activating enzyme activity"		
Dcitr04g1589011	1	GO:0009890	"negative regulation of biosynthetic process"				
Dcitr12g0984011	2			GO:0003676;GO:0003723	"nucleic acid binding";"RNA binding"		
Dcitr03g1067011	1	GO:0007009	"plasma membrane organization"				
Dcitr11g0519011	2			GO:0003924;GO:0005525	"GTPase activity";"GTP binding"		
Dcitr10g0417011	1			GO:0003779	"actin binding"		
Dcitr07g1070011	1					GO:0005737	"cytoplasm"
Dcitr07g1070012	1					GO:0005737	"cytoplasm"
Dcitr01g2025011	1			GO:0003676	"nucleic acid binding"		
Dcitr01g1300011	3	GO:0045454	"cell redox homeostasis"	GO:0009055;GO:0015035	"electron transfer activity";"protein disulfide oxidoreductase activity"		
Dcitr10g0446012	3			GO:0005524;GO:0003774	"ATP binding";"motor activity"	GO:0016459	"myosin complex"
Dcitr02g1265011	2	GO:0032543	"mitochondrial translation"	GO:0003735	"structural constituent of ribosome"		
Dcitr01g0386011	1			GO:0046983	"protein dimerization activity"		
Dcitr05g1101011	3	GO:0042246;GO:0007155	"tissue regeneration";"cell adhesion"			GO:0016021	"integral component of membrane"
Dcitr12g0708011	3	GO:0055114	"oxidation-reduction process"	GO:0016491;GO:0005507	"oxidoreductase activity";"copper ion binding"		
Dcitr06g0709011	4	GO:0005975;GO:0006013	"carbohydrate metabolic process";"mannose metabolic process"	GO:0004559;GO:0003824	"alpha-mannosidase activity";"catalytic activity"		
Dcitr05g0306011	1			GO:0005509	"calcium ion binding"		
Dcitr09g0105014	1			GO:0003824	"catalytic activity"		
Dcitr02g0135011	1			GO:0046983	"protein dimerization activity"		
Dcitr05g0777011	1	GO:0035556	"intracellular signal transduction"				
Dcitr00g0671011	3	GO:0034128;GO:0048678	"negative regulation of MyD88-independent toll-like receptor signaling pathway";"response to axon injury"	GO:0035591	"signaling adaptor activity"		
Dcitr03g1338011	2	GO:0045947	"negative regulation of translational initiation"	GO:0000900	"translation repressor activity, mRNA regulatory element binding"		
Dcitr00g0731011	4	GO:0030833;GO:0034314	"regulation of actin filament polymerization";"Arp2/3 complex-mediated actin nucleation"			GO:0005856;GO:0005885	"cytoskeleton";"Arp2/3 protein complex"
Dcitr01g1885011	3	GO:0007059;GO:0051301	"chromosome segregation";"cell division"	GO:0008017	"microtubule binding"		
Dcitr12g0911012	2	GO:0006751	"glutathione catabolic process"	GO:0036374	"glutathione hydrolase activity"		
Dcitr06g1472013	1					GO:0016021	"integral component of membrane"
Dcitr10g0292012	6	GO:0051603;GO:0006511	"proteolysis involved in cellular protein catabolic process";"ubiquitin-dependent protein catabolic process"	GO:0004175;GO:0004298	"endopeptidase activity";"threonine-type endopeptidase activity"	GO:0019773;GO:0005839	"proteasome core complex, alpha-subunit complex";"proteasome core complex"
Dcitr03g0819011	1			GO:0003676	"nucleic acid binding"		
Dcitr01g1572011	3	GO:1904668	"positive regulation of ubiquitin protein ligase activity"	GO:0010997;GO:0097027	"anaphase-promoting complex binding";"ubiquitin-protein transferase activator activity"		
Dcitr01g0553011	3			GO:0016887;GO:0005524	"ATPase activity";"ATP binding"	GO:0016020	"membrane"
Dcitr04g0836011	2	GO:0006508	"proteolysis"	GO:0008236	"serine-type peptidase activity"		
Dcitr01g1288011	3	GO:0007155;GO:0042246	"cell adhesion";"tissue regeneration"			GO:0016021	"integral component of membrane"
Dcitr09g0722011	2			GO:0050662;GO:0003824	"coenzyme binding";"catalytic activity"		
Dcitr13g0467011	1			GO:0005509	"calcium ion binding"		
Dcitr00g1530011	1	GO:0005975	"carbohydrate metabolic process"				
Dcitr09g0526012	1			GO:0003676	"nucleic acid binding"		
Dcitr07g0842011	6	GO:0006418;GO:0006434	"tRNA aminoacylation for protein translation";"seryl-tRNA aminoacylation"	GO:0004828;GO:0000166;GO:0004812;GO:0005524	"serine-tRNA ligase activity";"nucleotide binding";"aminoacyl-tRNA ligase activity";"ATP binding"		
Dcitr11g0402011	1					GO:0031417	"NatC complex"
Dcitr10g0992011	7	GO:0006366;GO:0006351	"transcription by RNA polymerase II";"transcription, DNA-templated"	GO:0046983;GO:0003677;GO:0003899;GO:0001055	"protein dimerization activity";"DNA binding";"DNA-directed 5'-3' RNA polymerase activity";"RNA polymerase II activity"	GO:0005665	"RNA polymerase II, core complex"
Dcitr08g0879011	3	GO:0045454;GO:0006662	"cell redox homeostasis";"glycerol ether metabolic process"	GO:0015035	"protein disulfide oxidoreductase activity"		
Dcitr01g0660011	3			GO:0008270;GO:0003676	"zinc ion binding";"nucleic acid binding"	GO:0005634	"nucleus"
Dcitr03g1078011	4	GO:0006535;GO:0019343	"cysteine biosynthetic process from serine";"cysteine biosynthetic process via cystathionine"	GO:0004122	"cystathionine beta-synthase activity"	GO:0005737	"cytoplasm"
Dcitr09g0402011	2			GO:0003676;GO:0005524	"nucleic acid binding";"ATP binding"		
Dcitr05g0766011	3	GO:0055114	"oxidation-reduction process"	GO:0016651;GO:0008137	"oxidoreductase activity, acting on NAD(P)H";"NADH dehydrogenase (ubiquinone) activity"		
Dcitr03g0601011	1			GO:0016491	"oxidoreductase activity"		
Dcitr02g1635011	4	GO:0055114	"oxidation-reduction process"	GO:0005506;GO:0016705;GO:0020037	"iron ion binding";"oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen";"heme binding"		
Dcitr02g1668011	1			GO:0016787	"hydrolase activity"		
Dcitr02g1690011	2					GO:0016020;GO:0016021	"membrane";"integral component of membrane"
Dcitr03g0135011	1	GO:0006396	"RNA processing"				
Dcitr00g0835011	2			GO:0016788;GO:0016888	"hydrolase activity, acting on ester bonds";"endodeoxyribonuclease activity, producing 5'-phosphomonoesters"		
Dcitr02g1347011	1			GO:0003998	"acylphosphatase activity"		
Dcitr01g1492011	4	GO:0055114	"oxidation-reduction process"	GO:0016705;GO:0005506;GO:0020037	"oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen";"iron ion binding";"heme binding"		
Dcitr12g0356011	4	GO:0007186	"G protein-coupled receptor signaling pathway"	GO:0004930;GO:0004994	"G protein-coupled receptor activity";"somatostatin receptor activity"	GO:0016021	"integral component of membrane"
Dcitr04g0141011	2			GO:0005509	"calcium ion binding"	GO:0016020	"membrane"
Dcitr00g1310011	3	GO:0006325;GO:0006355	"chromatin organization";"regulation of transcription, DNA-templated"			GO:0005634	"nucleus"
Dcitr03g0192011	3	GO:0006357	"regulation of transcription by RNA polymerase II"	GO:0003700;GO:0003677	"DNA-binding transcription factor activity";"DNA binding"		
Dcitr02g0702011	2	GO:0006629	"lipid metabolic process"	GO:0052689	"carboxylic ester hydrolase activity"		
Dcitr01g0409011	4	GO:0006913	"nucleocytoplasmic transport"	GO:0017056;GO:0008139	"structural constituent of nuclear pore";"nuclear localization sequence binding"	GO:0005643	"nuclear pore"
Dcitr07g0492011	5	GO:0006355	"regulation of transcription, DNA-templated"	GO:0003700;GO:0043565;GO:0003677	"DNA-binding transcription factor activity";"sequence-specific DNA binding";"DNA binding"	GO:0005634	"nucleus"
Dcitr04g0453012	1					GO:0001401	"SAM complex"
Dcitr04g1332012	4	GO:0006260;GO:0006270	"DNA replication";"DNA replication initiation"	GO:0005524;GO:0003677	"ATP binding";"DNA binding"		
Dcitr07g1094011	4	GO:0006338	"chromatin remodeling"	GO:0003677	"DNA binding"	GO:0016514;GO:0035060	"SWI/SNF complex";"brahma complex"
Dcitr01g1338011	1			GO:0003676	"nucleic acid binding"		
Dcitr10g0803011	3	GO:0006096	"glycolytic process"	GO:0004807;GO:0003824	"triose-phosphate isomerase activity";"catalytic activity"		
Dcitr12g0677013	1			GO:0016491	"oxidoreductase activity"		
Dcitr06g0942011	2	GO:0006355	"regulation of transcription, DNA-templated"	GO:0003677	"DNA binding"		
Dcitr00g0565011	3	GO:0006412	"translation"	GO:0003735	"structural constituent of ribosome"	GO:0005840	"ribosome"
Dcitr01g1499011	3	GO:0006396	"RNA processing"	GO:0003723;GO:0003676	"RNA binding";"nucleic acid binding"		
Dcitr01g1881011	4	GO:0006979;GO:0055114	"response to oxidative stress";"oxidation-reduction process"	GO:0020037;GO:0004601	"heme binding";"peroxidase activity"		
Dcitr02g1235011	2	GO:0051056	"regulation of small GTPase mediated signal transduction"	GO:0005096	"GTPase activator activity"		
Dcitr02g1227011	5	GO:0055114	"oxidation-reduction process"	GO:0003824;GO:0005507;GO:0004497;GO:0016715	"catalytic activity";"copper ion binding";"monooxygenase activity";"oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, reduced ascorbate as one donor, and incorporation of one atom of oxygen"		
Dcitr01g1205011	1			GO:0004843	"thiol-dependent ubiquitin-specific protease activity"		
Dcitr00g1404011	1	GO:0006914	"autophagy"				
Dcitr12g0609011	4	GO:0006508	"proteolysis"	GO:0008270;GO:0004185;GO:0004181	"zinc ion binding";"serine-type carboxypeptidase activity";"metallocarboxypeptidase activity"		
Dcitr07g0474011	4			GO:0004571;GO:0005509;GO:0003824	"mannosyl-oligosaccharide 1,2-alpha-mannosidase activity";"calcium ion binding";"catalytic activity"	GO:0016020	"membrane"
Dcitr00g0108011	4	GO:0006625	"protein targeting to peroxisome"	GO:0042623;GO:0005524	"ATPase activity, coupled";"ATP binding"	GO:0005778	"peroxisomal membrane"
Dcitr13g0473011	1			GO:0005525	"GTP binding"		
Dcitr02g1872011	6	GO:0051103;GO:0006310;GO:0006281	"DNA ligation involved in DNA repair";"DNA recombination";"DNA repair"	GO:0005524;GO:0003677;GO:0003910	"ATP binding";"DNA binding";"DNA ligase (ATP) activity"		
Dcitr09g0613011	1	GO:0051168	"nuclear export"				
Dcitr08g0951011	3	GO:0006357	"regulation of transcription by RNA polymerase II"	GO:0046983;GO:0003677	"protein dimerization activity";"DNA binding"		
Dcitr07g0194011	4	GO:0008610;GO:0055114	"lipid biosynthetic process";"oxidation-reduction process"	GO:0016491;GO:0005506	"oxidoreductase activity";"iron ion binding"		
Dcitr03g0767011	2	GO:0006751	"glutathione catabolic process"	GO:0036374	"glutathione hydrolase activity"		
Dcitr01g2245011	1			GO:0003676	"nucleic acid binding"		
Dcitr07g1040011	3	GO:0045116	"protein neddylation"	GO:0019781;GO:0008641	"NEDD8 activating enzyme activity";"ubiquitin-like modifier activating enzyme activity"		
Dcitr06g0262012	3	GO:0055085	"transmembrane transport"	GO:0022857	"transmembrane transporter activity"	GO:0016020	"membrane"
Dcitr06g0878011	3	GO:0006357	"regulation of transcription by RNA polymerase II"	GO:0003712	"transcription coregulator activity"	GO:0016592	"mediator complex"
Dcitr08g0964011	6	GO:0006281	"DNA repair"	GO:0016788;GO:0003677;GO:0035312;GO:0003824;GO:0004518	"hydrolase activity, acting on ester bonds";"DNA binding";"5'-3' exodeoxyribonuclease activity";"catalytic activity";"nuclease activity"		
Dcitr02g0630011	3	GO:0007411;GO:0007155	"axon guidance";"cell adhesion"			GO:0005886	"plasma membrane"
Dcitr11g0594011	3	GO:0055114	"oxidation-reduction process"	GO:0016614;GO:0050660	"oxidoreductase activity, acting on CH-OH group of donors";"flavin adenine dinucleotide binding"		
Dcitr08g0739011	7	GO:0070588;GO:0006811;GO:0055085	"calcium ion transmembrane transport";"ion transport";"transmembrane transport"	GO:0005216;GO:0005245	"ion channel activity";"voltage-gated calcium channel activity"	GO:0016020;GO:0005891	"membrane";"voltage-gated calcium channel complex"
Dcitr04g1608011	4	GO:0055114	"oxidation-reduction process"	GO:0050660;GO:0016627;GO:0003995	"flavin adenine dinucleotide binding";"oxidoreductase activity, acting on the CH-CH group of donors";"acyl-CoA dehydrogenase activity"		
Dcitr12g0944011	1			GO:0003676	"nucleic acid binding"		
Dcitr02g1701012	2	GO:0006357	"regulation of transcription by RNA polymerase II"	GO:0003700	"DNA-binding transcription factor activity"		
Dcitr09g0151012	2	GO:0055114	"oxidation-reduction process"	GO:0051287	"NAD binding"		
Dcitr02g0787012	1					GO:0016021	"integral component of membrane"
Dcitr02g1992012	2	GO:0006611	"protein export from nucleus"	GO:0005049	"nuclear export signal receptor activity"		
Dcitr09g0649011	4	GO:0006508	"proteolysis"	GO:0004222;GO:0003824;GO:0046872	"metalloendopeptidase activity";"catalytic activity";"metal ion binding"		
Dcitr03g1697012	4	GO:0006355	"regulation of transcription, DNA-templated"	GO:0043565;GO:0003700	"sequence-specific DNA binding";"DNA-binding transcription factor activity"	GO:0005634	"nucleus"
Dcitr09g0810011	2	GO:0007010	"cytoskeleton organization"	GO:0003779	"actin binding"		
Dcitr07g0367011	1			GO:0003677	"DNA binding"		
Dcitr07g0238011	4	GO:0019752	"carboxylic acid metabolic process"	GO:0003824;GO:0016831;GO:0030170	"catalytic activity";"carboxy-lyase activity";"pyridoxal phosphate binding"		
Dcitr04g0672011	4	GO:0055114	"oxidation-reduction process"	GO:0016491;GO:0003958;GO:0010181	"oxidoreductase activity";"NADPH-hemoprotein reductase activity";"FMN binding"		
Dcitr05g1113011	3	GO:0019509	"L-methionine salvage from methylthioadenosine"	GO:0046872	"metal ion binding"	GO:0005737	"cytoplasm"
Dcitr06g1422011	3	GO:0006355	"regulation of transcription, DNA-templated"	GO:0003700;GO:0043565	"DNA-binding transcription factor activity";"sequence-specific DNA binding"		
Dcitr05g0755011	4	GO:0007018	"microtubule-based movement"	GO:0003777;GO:0008017;GO:0005524	"microtubule motor activity";"microtubule binding";"ATP binding"		
Dcitr00g0201011	1			GO:0005525	"GTP binding"		
Dcitr11g0313012	1					GO:0016592	"mediator complex"
Dcitr01g0515011	3			GO:0003774;GO:0005524	"motor activity";"ATP binding"	GO:0016459	"myosin complex"
Dcitr01g1813011	3	GO:0006412	"translation"	GO:0003735	"structural constituent of ribosome"	GO:0005840	"ribosome"
Dcitr06g0581011	2			GO:0008270;GO:0004089	"zinc ion binding";"carbonate dehydratase activity"		
Dcitr08g0869013	1	GO:0007165	"signal transduction"				
Dcitr01g0996011	1			GO:0005524	"ATP binding"		
Dcitr10g0114011	1			GO:0003676	"nucleic acid binding"		
Dcitr13g0457011	3	GO:0016051	"carbohydrate biosynthetic process"	GO:0008146	"sulfotransferase activity"	GO:0016021	"integral component of membrane"
Dcitr13g0543011	2	GO:0006366	"transcription by RNA polymerase II"	GO:0003700	"DNA-binding transcription factor activity"		
Dcitr12g0257012	2	GO:0016567	"protein ubiquitination"	GO:0008270	"zinc ion binding"		
Dcitr01g0485011	2	GO:0006508	"proteolysis"	GO:0004252	"serine-type endopeptidase activity"		
Dcitr11g0302011	4	GO:0000055;GO:0000056;GO:0006913	"ribosomal large subunit export from nucleus";"ribosomal small subunit export from nucleus";"nucleocytoplasmic transport"	GO:0017056	"structural constituent of nuclear pore"		
Dcitr01g1294011	2	GO:0000398	"mRNA splicing, via spliceosome"			GO:0005689	"U12-type spliceosomal complex"
Dcitr10g0449011	5	GO:0007186;GO:0007166	"G protein-coupled receptor signaling pathway";"cell surface receptor signaling pathway"	GO:0004930;GO:0004888	"G protein-coupled receptor activity";"transmembrane signaling receptor activity"	GO:0016021	"integral component of membrane"
Dcitr03g1958011	4	GO:0033014	"tetrapyrrole biosynthetic process"	GO:0004655;GO:0003824;GO:0046872	"porphobilinogen synthase activity";"catalytic activity";"metal ion binding"		
Dcitr03g0805011	3			GO:0003993;GO:0046872;GO:0016787	"acid phosphatase activity";"metal ion binding";"hydrolase activity"		
Dcitr03g0140012	4	GO:0006355	"regulation of transcription, DNA-templated"	GO:0046983;GO:0003677;GO:0003700	"protein dimerization activity";"DNA binding";"DNA-binding transcription factor activity"		
Dcitr08g0637011	2			GO:0000339;GO:0003743	"RNA cap binding";"translation initiation factor activity"		
Dcitr01g1407011	3			GO:0046872;GO:0008270;GO:0030544	"metal ion binding";"zinc ion binding";"Hsp70 protein binding"		
Dcitr01g1816011	3	GO:0035194	"posttranscriptional gene silencing by RNA"	GO:0003723;GO:0032574	"RNA binding";"5'-3' RNA helicase activity"		
Dcitr03g1129011	3			GO:0003682;GO:0003677;GO:0003676	"chromatin binding";"DNA binding";"nucleic acid binding"		
Dcitr13g0609011	1	GO:0022904	"respiratory electron transport chain"				
Dcitr06g0230011	8	GO:0006730;GO:0006231;GO:0055114;GO:0006412	"one-carbon metabolic process";"dTMP biosynthetic process";"oxidation-reduction process";"translation"	GO:0003735;GO:0004146;GO:0004799	"structural constituent of ribosome";"dihydrofolate reductase activity";"thymidylate synthase activity"	GO:0005840	"ribosome"
Dcitr03g1285011	4	GO:0006355	"regulation of transcription, DNA-templated"	GO:0003700;GO:0003677	"DNA-binding transcription factor activity";"DNA binding"	GO:0005634	"nucleus"
Dcitr00g1243011	4	GO:0016567	"protein ubiquitination"	GO:0004842;GO:0008270;GO:0046872	"ubiquitin-protein transferase activity";"zinc ion binding";"metal ion binding"		
Dcitr04g1170011	2			GO:0005524;GO:0016887	"ATP binding";"ATPase activity"		
Dcitr01g0403011	4	GO:0055114	"oxidation-reduction process"	GO:0005506;GO:0016705;GO:0020037	"iron ion binding";"oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen";"heme binding"		
Dcitr01g0772011	1			GO:0031409	"pigment binding"		
Dcitr04g1507011	2	GO:0055114	"oxidation-reduction process"	GO:0005507	"copper ion binding"		
Dcitr07g0858011	2	GO:0055085	"transmembrane transport"	GO:0022857	"transmembrane transporter activity"		
Dcitr11g0111011	3	GO:0071805	"potassium ion transmembrane transport"	GO:0005267	"potassium channel activity"	GO:0016020	"membrane"
Dcitr04g0676012	1	GO:0019915	"lipid storage"				
Dcitr05g1491011	2	GO:0015074	"DNA integration"	GO:0003676	"nucleic acid binding"		
Dcitr11g0918011	1					GO:0016021	"integral component of membrane"
Dcitr10g0332011	4	GO:0006470	"protein dephosphorylation"	GO:0043169;GO:0003824;GO:0004722	"cation binding";"catalytic activity";"protein serine/threonine phosphatase activity"		
Dcitr07g0461011	1			GO:0070403	"NAD+ binding"		
Dcitr01g0715011	2	GO:0005975	"carbohydrate metabolic process"	GO:0016757	"transferase activity, transferring glycosyl groups"		
Dcitr11g0754011	2	GO:0006508	"proteolysis"	GO:0004252	"serine-type endopeptidase activity"		
Dcitr00g0827011	3	GO:0006412	"translation"	GO:0003735	"structural constituent of ribosome"	GO:0005840	"ribosome"
Dcitr11g0517011	3	GO:0006122	"mitochondrial electron transport, ubiquinol to cytochrome c"			GO:0005743;GO:0005750	"mitochondrial inner membrane";"mitochondrial respiratory chain complex III"
Dcitr06g1082011	5	GO:0016226;GO:0055114	"iron-sulfur cluster assembly";"oxidation-reduction process"	GO:0008199;GO:0004322	"ferric iron binding";"ferroxidase activity"	GO:0005739	"mitochondrion"
Dcitr05g0245011	1			GO:0080019	"fatty-acyl-CoA reductase (alcohol-forming) activity"		
Dcitr09g0827011	2			GO:0003723	"RNA binding"	GO:0005634	"nucleus"
Dcitr07g0142011	1			GO:0000062	"fatty-acyl-CoA binding"		
Dcitr09g0689011	1			GO:0003723	"RNA binding"		
Dcitr02g0132011	4	GO:0048015;GO:0046854	"phosphatidylinositol-mediated signaling";"phosphatidylinositol phosphorylation"	GO:0016301;GO:0004842	"kinase activity";"ubiquitin-protein transferase activity"		
Dcitr13g0546011	1			GO:0003676	"nucleic acid binding"		
Dcitr03g1679011	1			GO:0005509	"calcium ion binding"		
Dcitr06g0413012	1					GO:0042025	"host cell nucleus"
Dcitr06g1536012	3	GO:0006468	"protein phosphorylation"	GO:0004672;GO:0005524	"protein kinase activity";"ATP binding"		
Dcitr08g0184011	1			GO:0008146	"sulfotransferase activity"		
Dcitr00g0432011	1	GO:0006888	"endoplasmic reticulum to Golgi vesicle-mediated transport"				
Dcitr11g0583012	2	GO:0007165	"signal transduction"	GO:0035591	"signaling adaptor activity"		
Dcitr03g0209011	1			GO:0008083	"growth factor activity"		
Dcitr12g0539011	4	GO:0055114	"oxidation-reduction process"	GO:0020037;GO:0016705;GO:0005506	"heme binding";"oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen";"iron ion binding"		
Dcitr00g0133011	1			GO:0003676	"nucleic acid binding"		
Dcitr01g1684011	7	GO:0006355	"regulation of transcription, DNA-templated"	GO:0008270;GO:0003677;GO:0003707;GO:0043565;GO:0003700	"zinc ion binding";"DNA binding";"steroid hormone receptor activity";"sequence-specific DNA binding";"DNA-binding transcription factor activity"	GO:0042025	"host cell nucleus"
Dcitr08g0592011	3	GO:0006164;GO:0006189	"purine nucleotide biosynthetic process";"'de novo' IMP biosynthetic process"	GO:0004639	"phosphoribosylaminoimidazolesuccinocarboxamide synthase activity"		
Dcitr08g0691011	3	GO:0006813	"potassium ion transport"	GO:0005249	"voltage-gated potassium channel activity"	GO:0005737	"cytoplasm"
Dcitr00g1081011	2					GO:0005783;GO:0016021	"endoplasmic reticulum";"integral component of membrane"
Dcitr01g0746011	5	GO:0006355	"regulation of transcription, DNA-templated"	GO:0008270;GO:0043565;GO:0003700	"zinc ion binding";"sequence-specific DNA binding";"DNA-binding transcription factor activity"	GO:0042025	"host cell nucleus"
Dcitr04g0170011	1					GO:0016021	"integral component of membrane"
Dcitr12g0484011	1					GO:0034464	"BBSome"
Dcitr08g0340011	1			GO:0003723	"RNA binding"		
Dcitr02g0646011	3	GO:0055085	"transmembrane transport"	GO:0022857	"transmembrane transporter activity"	GO:0016021	"integral component of membrane"
Dcitr00g0781011	1	GO:0044237	"cellular metabolic process"				
Dcitr04g0390013	3	GO:0006357	"regulation of transcription by RNA polymerase II"	GO:0003676;GO:0001085	"nucleic acid binding";"RNA polymerase II transcription factor binding"		
Dcitr02g0728011	1					GO:0008537	"proteasome activator complex"
Dcitr05g1393011	1			GO:0005524	"ATP binding"		
Dcitr02g1091011	1	GO:0007165	"signal transduction"				
Dcitr12g0336011	6			GO:0043139;GO:0003678;GO:0005524	"5'-3' DNA helicase activity";"DNA helicase activity";"ATP binding"	GO:0031011;GO:0097255;GO:0035267	"Ino80 complex";"R2TP complex";"NuA4 histone acetyltransferase complex"
Dcitr01g1333011	4	GO:0007165	"signal transduction"	GO:0003924;GO:0005525	"GTPase activity";"GTP binding"	GO:0016020	"membrane"
Dcitr11g0458011	1			GO:0046983	"protein dimerization activity"		
Dcitr04g1113011	1	GO:0035556	"intracellular signal transduction"				
Dcitr01g0560011	4	GO:0055085	"transmembrane transport"	GO:0022857	"transmembrane transporter activity"	GO:0016020;GO:0016021	"membrane";"integral component of membrane"
Dcitr03g0776011	1			GO:0016491	"oxidoreductase activity"		
Dcitr06g1553011	2	GO:0022900	"electron transport chain"			GO:0005739	"mitochondrion"
Dcitr01g1022011	3			GO:0003676;GO:0008270	"nucleic acid binding";"zinc ion binding"	GO:0005634	"nucleus"
Dcitr02g1911011	5	GO:0032486;GO:0007165	"Rap protein signal transduction";"signal transduction"	GO:0005525;GO:0003924	"GTP binding";"GTPase activity"	GO:0016020	"membrane"
Dcitr07g0242011	1			GO:0016603	"glutaminyl-peptide cyclotransferase activity"		
Dcitr10g0618011	2			GO:0005524;GO:0003676	"ATP binding";"nucleic acid binding"		
Dcitr10g0909011	2			GO:0004970	"ionotropic glutamate receptor activity"	GO:0016020	"membrane"
Dcitr07g0876011	6	GO:0035556;GO:0007165;GO:0007205	"intracellular signal transduction";"signal transduction";"protein kinase C-activating G protein-coupled receptor signaling pathway"	GO:0003951;GO:0016301;GO:0004143	"NAD+ kinase activity";"kinase activity";"diacylglycerol kinase activity"		
Dcitr00g1447011	1	GO:0097193	"intrinsic apoptotic signaling pathway"				
Dcitr09g0894011	3	GO:0006260	"DNA replication"			GO:0005634;GO:0000808	"nucleus";"origin recognition complex"
Dcitr09g0730011	1			GO:0030234	"enzyme regulator activity"		
Dcitr01g0689011	1			GO:0005509	"calcium ion binding"		
Dcitr03g1601011	2	GO:0007018	"microtubule-based movement"	GO:0003777	"microtubule motor activity"		
Dcitr00g0738011	3	GO:0006412	"translation"	GO:0003735	"structural constituent of ribosome"	GO:0005840	"ribosome"
Dcitr02g1120011	3	GO:0055085	"transmembrane transport"	GO:0022857	"transmembrane transporter activity"	GO:0016020	"membrane"
Dcitr12g0378011	1			GO:0003676	"nucleic acid binding"		
Dcitr05g1401011	4	GO:0055085	"transmembrane transport"	GO:0022857	"transmembrane transporter activity"	GO:0016021;GO:0016020	"integral component of membrane";"membrane"
Dcitr06g0777011	1			GO:0003676	"nucleic acid binding"		
Dcitr07g0613011	4	GO:0006096	"glycolytic process"	GO:0000287;GO:0030955;GO:0004743	"magnesium ion binding";"potassium ion binding";"pyruvate kinase activity"		
Dcitr01g1389011	3			GO:0008270;GO:0003676	"zinc ion binding";"nucleic acid binding"	GO:0005634	"nucleus"
